date,number
3/1/2020,79
3/2/2020,98
3/3/2020,100
3/4/2020,96
3/5/2020,104
3/6/2020,123
3/7/2020,107
3/8/2020,80
3/9/2020,103
3/10/2020,103
3/11/2020,103
3/12/2020,111
3/13/2020,116
3/14/2020,89
3/15/2020,60
3/16/2020,90
3/17/2020,78
3/18/2020,72
3/19/2020,74
3/20/2020,78
3/21/2020,49
3/22/2020,27
3/23/2020,51
3/24/2020,52
3/25/2020,59
3/26/2020,60
3/27/2020,66
3/28/2020,45
3/29/2020,25
3/30/2020,48
3/31/2020,42
4/1/2020,53
4/2/2020,55
4/3/2020,62
4/4/2020,40
4/5/2020,11
4/6/2020,42
4/7/2020,41
4/8/2020,42
4/9/2020,50
4/10/2020,58
4/11/2020,44
4/12/2020,0
4/13/2020,50
4/14/2020,51
4/15/2020,56
4/16/2020,59
4/17/2020,68
4/18/2020,49
4/19/2020,4
4/21/2020,62
4/22/2020,62
4/23/2020,47
4/24/2020,71
4/25/2020,50
4/26/2020,33
4/27/2020,62
4/28/2020,66
4/29/2020,57
4/30/2020,76
5/1/2020,94
5/2/2020,73
5/3/2020,62
5/4/2020,76
5/5/2020,82
5/6/2020,96
5/7/2020,87
5/8/2020,85
5/9/2020,79
5/10/2020,67
5/11/2020,76
5/12/2020,87
5/13/2020,78
5/14/2020,80
5/15/2020,89
5/16/2020,80
5/17/2020,55
5/18/2020,77
5/19/2020,78
5/20/2020,89
5/21/2020,96
5/22/2020,104
5/23/2020,82
5/24/2020,68
5/25/2020,61
5/26/2020,82
5/27/2020,87
5/28/2020,90
5/30/2020,65
5/31/2020,62
6/1/2020,90
6/2/2020,83
6/3/2020,95
6/4/2020,93
6/5/2020,102
6/6/2020,89
6/7/2020,57
6/8/2020,85
6/9/2020,93
6/10/2020,92
6/11/2020,100
6/12/2020,100
6/13/2020,95
6/14/2020,63
6/15/2020,81
6/16/2020,92
6/17/2020,97
6/18/2020,101
6/19/2020,104
6/20/2020,94
6/21/2020,75
6/22/2020,78
6/23/2020,89
6/24/2020,84
6/25/2020,99
6/26/2020,104
6/27/2020,95
6/28/2020,71
6/29/2020,84
6/30/2020,94
7/1/2020,94
7/2/2020,103
7/3/2020,96
7/4/2020,72
7/5/2020,65
7/6/2020,89
7/7/2020,93
7/8/2020,97
7/9/2020,100
7/10/2020,110
7/11/2020,99
7/12/2020,66
7/13/2020,94
7/14/2020,101
7/15/2020,96
7/16/2020,97
7/17/2020,105
7/18/2020,91
7/19/2020,62
7/20/2020,84
7/21/2020,86
7/22/2020,88
7/23/2020,90
7/24/2020,101
7/25/2020,80
7/26/2020,62
7/27/2020,83
