date,number
3/1/2020,20
3/2/2020,86
3/3/2020,94
3/4/2020,100
3/5/2020,101
3/6/2020,108
3/7/2020,58
3/8/2020,20
3/9/2020,74
3/10/2020,88
3/11/2020,91
3/12/2020,90
3/13/2020,97
3/14/2020,39
3/15/2020,13
3/16/2020,74
3/17/2020,61
3/18/2020,45
3/19/2020,30
3/20/2020,44
3/21/2020,0
3/22/2020,0
3/23/2020,6
3/24/2020,3
3/25/2020,2
3/26/2020,4
3/27/2020,6
3/28/2020,0
3/29/2020,0
3/30/2020,1
3/31/2020,2
4/1/2020,1
4/2/2020,1
4/3/2020,8
4/4/2020,1
4/5/2020,0
4/6/2020,2
4/7/2020,2
4/8/2020,3
4/9/2020,1
4/10/2020,3
4/11/2020,1
4/12/2020,0
4/13/2020,1
4/14/2020,4
4/15/2020,3
4/16/2020,3
4/17/2020,16
4/18/2020,1
4/19/2020,0
4/21/2020,22
4/22/2020,27
4/23/2020,19
4/24/2020,31
4/25/2020,16
4/26/2020,3
4/27/2020,33
4/28/2020,35
4/29/2020,29
4/30/2020,41
5/1/2020,77
5/2/2020,50
5/3/2020,25
5/4/2020,29
5/5/2020,31
5/6/2020,28
5/7/2020,16
5/8/2020,30
5/9/2020,14
5/10/2020,2
5/11/2020,9
5/12/2020,21
5/13/2020,34
5/14/2020,31
5/15/2020,87
5/16/2020,71
5/17/2020,36
5/18/2020,54
5/19/2020,63
5/20/2020,82
5/21/2020,80
5/22/2020,93
5/23/2020,63
5/24/2020,30
5/25/2020,39
5/26/2020,73
5/27/2020,86
5/28/2020,88
5/30/2020,22
5/31/2020,48
6/1/2020,82
6/2/2020,57
6/3/2020,78
6/4/2020,82
6/5/2020,94
6/6/2020,88
6/7/2020,67
6/8/2020,88
6/9/2020,68
6/10/2020,93
6/11/2020,93
6/12/2020,92
6/13/2020,84
6/14/2020,73
6/15/2020,86
6/16/2020,76
6/17/2020,83
6/18/2020,83
6/19/2020,97
6/20/2020,81
6/21/2020,50
6/22/2020,77
6/23/2020,79
6/24/2020,80
6/25/2020,86
6/26/2020,96
6/27/2020,86
6/28/2020,48
6/29/2020,77
6/30/2020,93
7/1/2020,104
7/2/2020,112
7/3/2020,109
7/4/2020,71
7/5/2020,61
7/6/2020,87
7/7/2020,83
7/8/2020,75
7/9/2020,84
7/10/2020,101
7/11/2020,79
7/12/2020,55
7/13/2020,87
7/14/2020,83
7/15/2020,95
7/16/2020,91
7/17/2020,52
7/18/2020,21
7/19/2020,42
7/20/2020,78
7/21/2020,78
7/22/2020,79
7/23/2020,83
7/24/2020,91
7/25/2020,59
7/26/2020,54
7/27/2020,88
