date,number
3/1/2020,60
3/2/2020,96
3/3/2020,98
3/4/2020,100
3/5/2020,106
3/6/2020,114
3/7/2020,91
3/8/2020,62
3/9/2020,95
3/10/2020,95
3/11/2020,91
3/12/2020,89
3/13/2020,95
3/14/2020,68
3/15/2020,46
3/16/2020,75
3/17/2020,63
3/18/2020,46
3/19/2020,39
3/20/2020,53
3/21/2020,21
3/22/2020,8
3/23/2020,28
3/24/2020,26
3/25/2020,27
3/26/2020,23
3/27/2020,27
3/28/2020,11
3/29/2020,2
3/30/2020,18
3/31/2020,18
4/1/2020,11
4/2/2020,13
4/3/2020,21
4/4/2020,7
4/5/2020,0
4/6/2020,11
4/7/2020,12
4/8/2020,11
4/9/2020,12
4/10/2020,23
4/11/2020,7
4/12/2020,0
4/13/2020,10
4/14/2020,13
4/15/2020,19
4/16/2020,21
4/17/2020,29
4/18/2020,13
4/19/2020,2
4/21/2020,15
4/22/2020,17
4/23/2020,18
4/24/2020,21
4/25/2020,9
4/26/2020,0
4/27/2020,14
4/28/2020,16
4/29/2020,18
4/30/2020,26
5/1/2020,45
5/2/2020,24
5/3/2020,11
5/4/2020,19
5/5/2020,22
5/6/2020,33
5/7/2020,17
5/8/2020,28
5/9/2020,18
5/10/2020,6
5/11/2020,12
5/12/2020,25
5/13/2020,12
5/14/2020,15
5/15/2020,43
5/16/2020,37
5/17/2020,19
5/18/2020,37
5/19/2020,37
5/20/2020,52
5/21/2020,56
5/22/2020,65
5/23/2020,44
5/24/2020,32
5/25/2020,24
5/26/2020,52
5/27/2020,52
5/28/2020,51
5/30/2020,23
5/31/2020,26
6/1/2020,50
6/2/2020,51
6/3/2020,53
6/4/2020,52
6/5/2020,59
6/6/2020,53
6/7/2020,27
6/8/2020,62
6/9/2020,57
6/10/2020,59
6/11/2020,57
6/12/2020,50
6/13/2020,52
6/14/2020,21
6/15/2020,36
6/16/2020,45
6/17/2020,55
6/18/2020,57
6/19/2020,61
6/20/2020,41
6/21/2020,24
6/22/2020,38
6/23/2020,50
6/24/2020,39
6/25/2020,55
6/26/2020,53
6/27/2020,45
6/28/2020,26
6/29/2020,47
6/30/2020,51
7/1/2020,55
7/2/2020,55
7/3/2020,49
7/4/2020,25
7/5/2020,15
7/6/2020,46
7/7/2020,50
7/8/2020,50
7/9/2020,50
7/10/2020,57
7/11/2020,37
7/12/2020,18
7/13/2020,43
7/14/2020,50
7/15/2020,43
7/16/2020,45
7/17/2020,38
7/18/2020,24
7/19/2020,17
7/20/2020,37
7/21/2020,37
7/22/2020,39
7/23/2020,36
7/24/2020,51
7/25/2020,29
7/26/2020,14
7/27/2020,37
