date,number
3/1/2020,73
3/2/2020,97
3/3/2020,100
3/4/2020,97
3/5/2020,105
3/6/2020,125
3/7/2020,108
3/8/2020,76
3/9/2020,89
3/10/2020,99
3/11/2020,96
3/12/2020,100
3/13/2020,102
3/14/2020,68
3/15/2020,52
3/16/2020,76
3/17/2020,70
3/18/2020,64
3/19/2020,63
3/20/2020,76
3/21/2020,48
3/22/2020,17
3/23/2020,53
3/24/2020,50
3/25/2020,60
3/26/2020,63
3/27/2020,63
3/28/2020,32
3/29/2020,34
3/30/2020,45
3/31/2020,50
4/1/2020,55
4/2/2020,56
4/3/2020,54
4/4/2020,29
4/5/2020,23
4/6/2020,49
4/7/2020,50
4/8/2020,55
4/9/2020,56
4/10/2020,66
4/11/2020,41
4/12/2020,5
4/13/2020,53
4/14/2020,52
4/15/2020,61
4/16/2020,64
4/17/2020,66
4/18/2020,56
4/19/2020,16
4/21/2020,65
4/22/2020,49
4/23/2020,64
4/24/2020,65
4/25/2020,51
4/26/2020,40
4/27/2020,60
4/28/2020,57
4/29/2020,64
4/30/2020,75
5/1/2020,92
5/2/2020,75
5/3/2020,51
5/4/2020,67
5/5/2020,78
5/6/2020,92
5/7/2020,79
5/8/2020,85
5/9/2020,79
5/10/2020,65
5/11/2020,68
5/12/2020,72
5/13/2020,69
5/14/2020,71
5/15/2020,74
5/16/2020,60
5/17/2020,48
5/18/2020,78
5/19/2020,75
5/20/2020,87
5/21/2020,92
5/22/2020,97
5/23/2020,77
5/24/2020,62
5/25/2020,50
5/26/2020,77
5/27/2020,85
5/28/2020,83
5/30/2020,64
5/31/2020,59
6/1/2020,87
6/2/2020,82
6/3/2020,91
6/4/2020,90
6/5/2020,105
6/6/2020,92
6/7/2020,67
6/8/2020,77
6/9/2020,93
6/10/2020,91
6/11/2020,96
6/12/2020,97
6/13/2020,91
6/14/2020,60
6/15/2020,76
6/16/2020,89
6/17/2020,95
6/18/2020,98
6/19/2020,100
6/20/2020,82
6/21/2020,68
6/22/2020,73
6/23/2020,88
6/24/2020,84
6/25/2020,99
6/26/2020,101
6/27/2020,88
6/28/2020,67
6/29/2020,76
6/30/2020,92
7/1/2020,94
7/2/2020,99
7/3/2020,96
7/4/2020,70
7/5/2020,65
7/6/2020,88
7/7/2020,93
7/8/2020,96
7/9/2020,92
7/10/2020,111
7/11/2020,88
7/12/2020,72
7/13/2020,90
7/14/2020,95
7/15/2020,92
7/16/2020,92
7/17/2020,94
7/18/2020,82
7/19/2020,61
7/20/2020,80
7/21/2020,84
7/22/2020,82
7/23/2020,83
7/24/2020,100
7/25/2020,75
7/26/2020,59
7/27/2020,79
