date,number
3/1/2020,60
3/2/2020,98
3/3/2020,100
3/4/2020,99
3/5/2020,106
3/6/2020,111
3/7/2020,87
3/8/2020,62
3/9/2020,92
3/10/2020,95
3/11/2020,96
3/12/2020,90
3/13/2020,91
3/14/2020,51
3/15/2020,32
3/16/2020,66
3/17/2020,47
3/18/2020,41
3/19/2020,29
3/20/2020,36
3/21/2020,10
3/22/2020,3
3/23/2020,14
3/24/2020,11
3/25/2020,15
3/26/2020,13
3/27/2020,22
3/28/2020,3
3/29/2020,0
3/30/2020,8
3/31/2020,10
4/1/2020,11
4/2/2020,13
4/3/2020,19
4/4/2020,3
4/5/2020,0
4/6/2020,2
4/7/2020,5
4/8/2020,5
4/9/2020,1
4/10/2020,14
4/11/2020,5
4/12/2020,0
4/13/2020,7
4/14/2020,9
4/15/2020,11
4/16/2020,14
4/17/2020,21
4/18/2020,5
4/19/2020,1
4/21/2020,6
4/22/2020,7
4/23/2020,6
4/24/2020,10
4/25/2020,2
4/26/2020,0
4/27/2020,5
4/28/2020,5
4/29/2020,9
4/30/2020,15
5/1/2020,29
5/2/2020,12
5/3/2020,7
5/4/2020,9
5/5/2020,9
5/6/2020,15
5/7/2020,3
5/8/2020,16
5/9/2020,3
5/10/2020,1
5/11/2020,2
5/12/2020,5
5/13/2020,7
5/14/2020,9
5/15/2020,30
5/16/2020,22
5/17/2020,4
5/18/2020,13
5/19/2020,18
5/20/2020,34
5/21/2020,35
5/22/2020,46
5/23/2020,27
5/24/2020,19
5/25/2020,13
5/26/2020,32
5/27/2020,36
5/28/2020,40
5/30/2020,16
5/31/2020,16
6/1/2020,33
6/2/2020,31
6/3/2020,38
6/4/2020,41
6/5/2020,47
6/6/2020,40
6/7/2020,23
6/8/2020,47
6/9/2020,43
6/10/2020,45
6/11/2020,49
6/12/2020,44
6/13/2020,46
6/14/2020,29
6/15/2020,38
6/16/2020,37
6/17/2020,48
6/18/2020,53
6/19/2020,66
6/20/2020,49
6/21/2020,30
6/22/2020,42
6/23/2020,51
6/24/2020,48
6/25/2020,50
6/26/2020,56
6/27/2020,45
6/28/2020,27
6/29/2020,41
6/30/2020,54
7/1/2020,53
7/2/2020,55
7/3/2020,50
7/4/2020,25
7/5/2020,19
7/6/2020,49
7/7/2020,45
7/8/2020,48
7/9/2020,51
7/10/2020,56
7/11/2020,42
7/12/2020,29
7/13/2020,37
7/14/2020,39
7/15/2020,36
7/16/2020,40
7/17/2020,28
7/18/2020,6
7/19/2020,20
7/20/2020,31
7/21/2020,30
7/22/2020,33
7/23/2020,29
7/24/2020,41
7/25/2020,24
7/26/2020,12
7/27/2020,29
