date,number
3/1/2020,55
3/2/2020,91
3/3/2020,98
3/4/2020,99
3/5/2020,103
3/6/2020,113
3/7/2020,91
3/8/2020,60
3/9/2020,96
3/10/2020,98
3/11/2020,101
3/12/2020,101
3/13/2020,92
3/14/2020,56
3/15/2020,33
3/16/2020,66
3/17/2020,45
3/18/2020,44
3/19/2020,5
3/20/2020,22
3/21/2020,5
3/22/2020,3
3/23/2020,21
3/24/2020,18
3/25/2020,20
3/26/2020,2
3/27/2020,1
3/28/2020,0
3/29/2020,0
3/30/2020,2
3/31/2020,8
4/1/2020,6
4/2/2020,0
4/3/2020,4
4/4/2020,1
4/5/2020,0
4/6/2020,6
4/7/2020,7
4/8/2020,7
4/9/2020,6
4/10/2020,16
4/11/2020,6
4/12/2020,0
4/13/2020,0
4/14/2020,2
4/15/2020,6
4/16/2020,0
4/17/2020,13
4/18/2020,1
4/19/2020,0
4/21/2020,14
4/22/2020,15
4/23/2020,16
4/24/2020,18
4/25/2020,10
4/26/2020,1
4/27/2020,21
4/28/2020,20
4/29/2020,22
4/30/2020,30
5/1/2020,48
5/2/2020,24
5/3/2020,21
5/4/2020,27
5/5/2020,32
5/6/2020,43
5/7/2020,27
5/8/2020,39
5/9/2020,30
5/10/2020,21
5/11/2020,15
5/12/2020,32
5/13/2020,22
5/14/2020,23
5/15/2020,42
5/16/2020,40
5/17/2020,30
5/18/2020,45
5/19/2020,39
5/20/2020,54
5/21/2020,61
5/22/2020,73
5/23/2020,49
5/24/2020,19
5/25/2020,28
5/26/2020,60
5/27/2020,60
5/28/2020,59
5/30/2020,32
5/31/2020,33
6/1/2020,60
6/2/2020,61
6/3/2020,68
6/4/2020,65
6/5/2020,76
6/6/2020,52
6/7/2020,40
6/8/2020,70
6/9/2020,60
6/10/2020,73
6/11/2020,74
6/12/2020,68
6/13/2020,62
6/14/2020,37
6/15/2020,55
6/16/2020,62
6/17/2020,75
6/18/2020,76
6/19/2020,78
6/20/2020,64
6/21/2020,49
6/22/2020,61
6/23/2020,73
6/24/2020,64
6/25/2020,80
6/26/2020,78
6/27/2020,73
6/28/2020,56
6/29/2020,70
6/30/2020,80
7/1/2020,85
7/2/2020,87
7/3/2020,81
7/4/2020,53
7/5/2020,52
7/6/2020,76
7/7/2020,81
7/8/2020,84
7/9/2020,85
7/10/2020,93
7/11/2020,76
7/12/2020,57
7/13/2020,73
7/14/2020,78
7/15/2020,74
7/16/2020,77
7/17/2020,78
7/18/2020,70
7/19/2020,52
7/20/2020,67
7/21/2020,66
7/22/2020,70
7/23/2020,67
7/24/2020,81
7/25/2020,57
7/26/2020,42
7/27/2020,64
