date,number
3/1/2020,71
3/2/2020,99
3/3/2020,100
3/4/2020,99
3/5/2020,104
3/6/2020,111
3/7/2020,92
3/8/2020,68
3/9/2020,96
3/10/2020,99
3/11/2020,101
3/12/2020,102
3/13/2020,102
3/14/2020,75
3/15/2020,52
3/16/2020,76
3/17/2020,66
3/18/2020,55
3/19/2020,56
3/20/2020,61
3/21/2020,26
3/22/2020,10
3/23/2020,33
3/24/2020,29
3/25/2020,31
3/26/2020,28
3/27/2020,27
3/28/2020,8
3/29/2020,1
3/30/2020,15
3/31/2020,17
4/1/2020,20
4/2/2020,23
4/3/2020,17
4/4/2020,4
4/5/2020,0
4/6/2020,9
4/7/2020,12
4/8/2020,12
4/9/2020,14
4/10/2020,20
4/11/2020,8
4/12/2020,0
4/13/2020,12
4/14/2020,13
4/15/2020,15
4/16/2020,15
4/17/2020,26
4/18/2020,7
4/19/2020,1
4/21/2020,35
4/22/2020,39
4/23/2020,37
4/24/2020,28
4/25/2020,20
4/26/2020,5
4/27/2020,36
4/28/2020,40
4/29/2020,38
4/30/2020,39
5/1/2020,57
5/2/2020,39
5/3/2020,24
5/4/2020,36
5/5/2020,46
5/6/2020,55
5/7/2020,43
5/8/2020,54
5/9/2020,44
5/10/2020,22
5/11/2020,34
5/12/2020,48
5/13/2020,37
5/14/2020,36
5/15/2020,50
5/16/2020,46
5/17/2020,32
5/18/2020,47
5/19/2020,46
5/20/2020,62
5/21/2020,66
5/22/2020,78
5/23/2020,56
5/24/2020,34
5/25/2020,21
5/26/2020,62
5/27/2020,68
5/28/2020,64
5/30/2020,56
5/31/2020,29
6/1/2020,69
6/2/2020,62
6/3/2020,74
6/4/2020,67
6/5/2020,78
6/6/2020,55
6/7/2020,30
6/8/2020,71
6/9/2020,79
6/10/2020,71
6/11/2020,77
6/12/2020,70
6/13/2020,68
6/14/2020,39
6/15/2020,60
6/16/2020,64
6/17/2020,80
6/18/2020,78
6/19/2020,82
6/20/2020,66
6/21/2020,46
6/22/2020,63
6/23/2020,74
6/24/2020,70
6/25/2020,79
6/26/2020,80
6/27/2020,67
6/28/2020,41
6/29/2020,61
6/30/2020,74
7/1/2020,73
7/2/2020,72
7/3/2020,70
7/4/2020,44
7/5/2020,34
7/6/2020,64
7/7/2020,73
7/8/2020,78
7/9/2020,78
7/10/2020,83
7/11/2020,65
7/12/2020,53
7/13/2020,74
7/14/2020,86
7/15/2020,75
7/16/2020,74
7/17/2020,95
7/18/2020,62
7/19/2020,41
7/20/2020,61
7/21/2020,63
7/22/2020,65
7/23/2020,60
7/24/2020,75
7/25/2020,52
7/26/2020,32
7/27/2020,59
