date,number
3/1/2020,68
3/2/2020,97
3/3/2020,99
3/4/2020,100
3/5/2020,104
3/6/2020,110
3/7/2020,96
3/8/2020,78
3/9/2020,99
3/10/2020,105
3/11/2020,102
3/12/2020,97
3/13/2020,112
3/14/2020,91
3/15/2020,67
3/16/2020,82
3/17/2020,69
3/18/2020,73
3/19/2020,47
3/20/2020,72
3/21/2020,34
3/22/2020,23
3/23/2020,45
3/24/2020,29
3/25/2020,24
3/26/2020,15
3/27/2020,22
3/28/2020,6
3/29/2020,0
3/30/2020,17
3/31/2020,19
4/1/2020,21
4/2/2020,21
4/3/2020,28
4/4/2020,11
4/5/2020,2
4/6/2020,19
4/7/2020,19
4/8/2020,19
4/9/2020,16
4/10/2020,21
4/11/2020,5
4/12/2020,0
4/13/2020,17
4/14/2020,16
4/15/2020,23
4/16/2020,23
4/17/2020,32
4/18/2020,12
4/19/2020,2
4/21/2020,22
4/22/2020,24
4/23/2020,21
4/24/2020,26
4/25/2020,14
4/26/2020,5
4/27/2020,23
4/28/2020,24
4/29/2020,19
4/30/2020,28
5/1/2020,47
5/2/2020,27
5/3/2020,15
5/4/2020,19
5/5/2020,16
5/6/2020,13
5/7/2020,9
5/8/2020,20
5/9/2020,6
5/10/2020,3
5/11/2020,8
5/12/2020,12
5/13/2020,22
5/14/2020,23
5/15/2020,51
5/16/2020,47
5/17/2020,26
5/18/2020,28
5/19/2020,38
5/20/2020,47
5/21/2020,42
5/22/2020,57
5/23/2020,55
5/24/2020,40
5/25/2020,42
5/26/2020,48
5/27/2020,50
5/28/2020,53
5/30/2020,11
5/31/2020,50
6/1/2020,52
6/2/2020,40
6/3/2020,49
6/4/2020,50
6/5/2020,57
6/6/2020,62
6/7/2020,44
6/8/2020,62
6/9/2020,48
6/10/2020,59
6/11/2020,53
6/12/2020,52
6/13/2020,58
6/14/2020,49
6/15/2020,52
6/16/2020,45
6/17/2020,53
6/18/2020,55
6/19/2020,66
6/20/2020,76
6/21/2020,48
6/22/2020,54
6/23/2020,57
6/24/2020,61
6/25/2020,55
6/26/2020,68
6/27/2020,68
6/28/2020,51
6/29/2020,59
6/30/2020,59
7/1/2020,67
7/2/2020,71
7/3/2020,67
7/4/2020,42
7/5/2020,40
7/6/2020,62
7/7/2020,61
7/8/2020,59
7/9/2020,58
7/10/2020,69
7/11/2020,67
7/12/2020,51
7/13/2020,52
7/14/2020,52
7/15/2020,55
7/16/2020,57
7/17/2020,41
7/18/2020,37
7/19/2020,39
7/20/2020,51
7/21/2020,48
7/22/2020,47
7/23/2020,51
7/24/2020,58
7/25/2020,35
7/26/2020,0
7/27/2020,29
