date,number
3/1/2020,47
3/2/2020,97
3/3/2020,98
3/4/2020,100
3/5/2020,108
3/6/2020,115
3/7/2020,83
3/8/2020,51
3/9/2020,97
3/10/2020,102
3/11/2020,105
3/12/2020,106
3/13/2020,113
3/14/2020,62
3/15/2020,31
3/16/2020,86
3/17/2020,76
3/18/2020,70
3/19/2020,65
3/20/2020,73
3/21/2020,35
3/22/2020,15
3/23/2020,50
3/24/2020,48
3/25/2020,44
3/26/2020,27
3/27/2020,30
3/28/2020,6
3/29/2020,0
3/30/2020,19
3/31/2020,19
4/1/2020,21
4/2/2020,22
4/3/2020,31
4/4/2020,7
4/5/2020,0
4/6/2020,21
4/7/2020,29
4/8/2020,34
4/9/2020,34
4/10/2020,48
4/11/2020,13
4/12/2020,0
4/13/2020,27
4/14/2020,30
4/15/2020,31
4/16/2020,38
4/17/2020,53
4/18/2020,28
4/19/2020,4
4/21/2020,42
4/22/2020,43
4/23/2020,38
4/24/2020,46
4/25/2020,27
4/26/2020,5
4/27/2020,38
4/28/2020,46
4/29/2020,47
4/30/2020,51
5/1/2020,82
5/2/2020,60
5/3/2020,29
5/4/2020,59
5/5/2020,66
5/6/2020,68
5/7/2020,61
5/8/2020,74
5/9/2020,62
5/10/2020,40
5/11/2020,51
5/12/2020,64
5/13/2020,58
5/14/2020,60
5/15/2020,77
5/16/2020,74
5/17/2020,37
5/18/2020,66
5/19/2020,68
5/20/2020,76
5/21/2020,84
5/22/2020,95
5/23/2020,67
5/24/2020,60
5/25/2020,72
5/26/2020,85
5/27/2020,90
5/28/2020,95
5/30/2020,57
5/31/2020,58
6/1/2020,89
6/2/2020,92
6/3/2020,92
6/4/2020,93
6/5/2020,104
6/6/2020,81
6/7/2020,35
6/8/2020,90
6/9/2020,93
6/10/2020,100
6/11/2020,104
6/12/2020,93
6/13/2020,78
6/14/2020,55
6/15/2020,85
6/16/2020,80
6/17/2020,91
6/18/2020,107
6/19/2020,114
6/20/2020,99
6/21/2020,71
6/22/2020,96
6/23/2020,99
6/24/2020,95
6/25/2020,106
6/26/2020,111
6/27/2020,99
6/28/2020,60
6/29/2020,87
6/30/2020,97
7/1/2020,106
7/2/2020,113
7/3/2020,110
7/4/2020,80
7/5/2020,69
7/6/2020,105
7/7/2020,100
7/8/2020,104
7/9/2020,106
7/10/2020,116
7/11/2020,99
7/12/2020,70
7/13/2020,93
7/14/2020,98
7/15/2020,95
7/16/2020,99
7/17/2020,88
7/18/2020,76
7/19/2020,61
7/20/2020,87
7/21/2020,84
7/22/2020,84
7/23/2020,85
7/24/2020,100
7/25/2020,78
7/26/2020,55
7/27/2020,83
