date,number
3/1/2020,70
3/2/2020,97
3/3/2020,100
3/4/2020,99
3/5/2020,103
3/6/2020,113
3/7/2020,96
3/8/2020,69
3/9/2020,90
3/10/2020,97
3/11/2020,98
3/12/2020,98
3/13/2020,99
3/14/2020,60
3/15/2020,39
3/16/2020,68
3/17/2020,49
3/18/2020,36
3/19/2020,35
3/20/2020,51
3/21/2020,10
3/22/2020,0
3/23/2020,5
3/24/2020,9
3/25/2020,17
3/26/2020,11
3/27/2020,15
3/28/2020,1
3/29/2020,0
3/30/2020,10
3/31/2020,9
4/1/2020,14
4/2/2020,16
4/3/2020,22
4/4/2020,4
4/5/2020,1
4/6/2020,10
4/7/2020,16
4/8/2020,12
4/9/2020,11
4/10/2020,23
4/11/2020,10
4/12/2020,0
4/13/2020,8
4/14/2020,10
4/15/2020,11
4/16/2020,17
4/17/2020,18
4/18/2020,15
4/19/2020,4
4/21/2020,26
4/22/2020,27
4/23/2020,26
4/24/2020,30
4/25/2020,6
4/26/2020,7
4/27/2020,23
4/28/2020,26
4/29/2020,19
4/30/2020,33
5/1/2020,53
5/2/2020,39
5/3/2020,22
5/4/2020,26
5/5/2020,27
5/6/2020,45
5/7/2020,34
5/8/2020,40
5/9/2020,36
5/10/2020,12
5/11/2020,19
5/12/2020,35
5/13/2020,22
5/14/2020,14
5/15/2020,42
5/16/2020,36
5/17/2020,2
5/18/2020,33
5/19/2020,28
5/20/2020,48
5/21/2020,55
5/22/2020,66
5/23/2020,37
5/24/2020,35
5/25/2020,19
5/26/2020,49
5/27/2020,53
5/28/2020,48
5/30/2020,45
5/31/2020,27
6/1/2020,47
6/2/2020,50
6/3/2020,63
6/4/2020,65
6/5/2020,75
6/6/2020,65
6/7/2020,40
6/8/2020,69
6/9/2020,64
6/10/2020,64
6/11/2020,75
6/12/2020,68
6/13/2020,68
6/14/2020,37
6/15/2020,55
6/16/2020,64
6/17/2020,79
6/18/2020,80
6/19/2020,86
6/20/2020,58
6/21/2020,48
6/22/2020,52
6/23/2020,75
6/24/2020,68
6/25/2020,84
6/26/2020,78
6/27/2020,74
6/28/2020,53
6/29/2020,65
6/30/2020,78
7/1/2020,82
7/2/2020,87
7/3/2020,85
7/4/2020,60
7/5/2020,50
7/6/2020,73
7/7/2020,79
7/8/2020,82
7/9/2020,81
7/10/2020,96
7/11/2020,78
7/12/2020,66
7/13/2020,77
7/14/2020,89
7/15/2020,73
7/16/2020,82
7/17/2020,98
7/18/2020,75
7/19/2020,42
7/20/2020,68
7/21/2020,67
7/22/2020,73
7/23/2020,72
7/24/2020,88
7/25/2020,65
7/26/2020,44
7/27/2020,61
