date,number
3/1/2020,67
3/2/2020,97
3/3/2020,100
3/4/2020,98
3/5/2020,104
3/6/2020,125
3/7/2020,103
3/8/2020,68
3/9/2020,90
3/10/2020,99
3/11/2020,102
3/12/2020,105
3/13/2020,123
3/14/2020,69
3/15/2020,45
3/16/2020,80
3/17/2020,69
3/18/2020,51
3/19/2020,48
3/20/2020,59
3/21/2020,22
3/22/2020,5
3/23/2020,38
3/24/2020,38
3/25/2020,39
3/26/2020,39
3/27/2020,42
3/28/2020,13
3/29/2020,4
3/30/2020,37
3/31/2020,38
4/1/2020,39
4/2/2020,37
4/3/2020,34
4/4/2020,20
4/5/2020,11
4/6/2020,31
4/7/2020,42
4/8/2020,36
4/9/2020,33
4/10/2020,48
4/11/2020,21
4/12/2020,0
4/13/2020,29
4/14/2020,32
4/15/2020,35
4/16/2020,35
4/17/2020,42
4/18/2020,31
4/19/2020,14
4/21/2020,49
4/22/2020,52
4/23/2020,54
4/24/2020,52
4/25/2020,37
4/26/2020,23
4/27/2020,47
4/28/2020,46
4/29/2020,43
4/30/2020,66
5/1/2020,86
5/2/2020,61
5/3/2020,51
5/4/2020,51
5/5/2020,49
5/6/2020,76
5/7/2020,61
5/8/2020,76
5/9/2020,66
5/10/2020,37
5/11/2020,47
5/12/2020,65
5/13/2020,45
5/14/2020,44
5/15/2020,79
5/16/2020,57
5/17/2020,29
5/18/2020,58
5/19/2020,58
5/20/2020,74
5/21/2020,84
5/22/2020,103
5/23/2020,68
5/24/2020,51
5/25/2020,39
5/26/2020,66
5/27/2020,80
5/28/2020,76
5/30/2020,54
5/31/2020,52
6/1/2020,74
6/2/2020,77
6/3/2020,90
6/4/2020,90
6/5/2020,108
6/6/2020,96
6/7/2020,66
6/8/2020,91
6/9/2020,80
6/10/2020,82
6/11/2020,98
6/12/2020,101
6/13/2020,99
6/14/2020,61
6/15/2020,78
6/16/2020,93
6/17/2020,101
6/18/2020,102
6/19/2020,101
6/20/2020,85
6/21/2020,79
6/22/2020,68
6/23/2020,99
6/24/2020,91
6/25/2020,108
6/26/2020,110
6/27/2020,107
6/28/2020,79
6/29/2020,91
6/30/2020,99
7/1/2020,103
7/2/2020,115
7/3/2020,114
7/4/2020,80
7/5/2020,69
7/6/2020,91
7/7/2020,100
7/8/2020,103
7/9/2020,97
7/10/2020,126
7/11/2020,100
7/12/2020,90
7/13/2020,96
7/14/2020,93
7/15/2020,88
7/16/2020,101
7/17/2020,103
7/18/2020,85
7/19/2020,66
7/20/2020,82
7/21/2020,83
7/22/2020,91
7/23/2020,89
7/24/2020,111
7/25/2020,83
7/26/2020,57
7/27/2020,81
