date,number
3/1/2020,69
3/2/2020,95
3/3/2020,99
3/4/2020,100
3/5/2020,106
3/6/2020,126
3/7/2020,106
3/8/2020,70
3/9/2020,91
3/10/2020,101
3/11/2020,106
3/12/2020,107
3/13/2020,108
3/14/2020,63
3/15/2020,38
3/16/2020,71
3/17/2020,63
3/18/2020,56
3/19/2020,53
3/20/2020,60
3/21/2020,28
3/22/2020,10
3/23/2020,43
3/24/2020,30
3/25/2020,35
3/26/2020,32
3/27/2020,36
3/28/2020,17
3/29/2020,11
3/30/2020,22
3/31/2020,28
4/1/2020,30
4/2/2020,27
4/3/2020,23
4/4/2020,12
4/5/2020,5
4/6/2020,24
4/7/2020,32
4/8/2020,33
4/9/2020,30
4/10/2020,38
4/11/2020,24
4/12/2020,0
4/13/2020,22
4/14/2020,27
4/15/2020,34
4/16/2020,27
4/17/2020,36
4/18/2020,29
4/19/2020,13
4/21/2020,43
4/22/2020,34
4/23/2020,47
4/24/2020,38
4/25/2020,35
4/26/2020,19
4/27/2020,41
4/28/2020,41
4/29/2020,43
4/30/2020,55
5/1/2020,71
5/2/2020,51
5/3/2020,36
5/4/2020,39
5/5/2020,57
5/6/2020,69
5/7/2020,49
5/8/2020,65
5/9/2020,55
5/10/2020,43
5/11/2020,39
5/12/2020,50
5/13/2020,38
5/14/2020,44
5/15/2020,58
5/16/2020,51
5/17/2020,41
5/18/2020,63
5/19/2020,61
5/20/2020,74
5/21/2020,77
5/22/2020,88
5/23/2020,73
5/24/2020,48
5/25/2020,28
5/26/2020,64
5/27/2020,77
5/28/2020,69
5/30/2020,55
5/31/2020,49
6/1/2020,78
6/2/2020,74
6/3/2020,85
6/4/2020,85
6/5/2020,101
6/6/2020,85
6/7/2020,54
6/8/2020,84
6/9/2020,83
6/10/2020,84
6/11/2020,91
6/12/2020,92
6/13/2020,87
6/14/2020,51
6/15/2020,69
6/16/2020,82
6/17/2020,90
6/18/2020,93
6/19/2020,87
6/20/2020,78
6/21/2020,63
6/22/2020,72
6/23/2020,90
6/24/2020,82
6/25/2020,94
6/26/2020,102
6/27/2020,85
6/28/2020,63
6/29/2020,77
6/30/2020,90
7/1/2020,93
7/2/2020,98
7/3/2020,89
7/4/2020,65
7/5/2020,51
7/6/2020,81
7/7/2020,88
7/8/2020,91
7/9/2020,86
7/10/2020,107
7/11/2020,78
7/12/2020,66
7/13/2020,82
7/14/2020,84
7/15/2020,79
7/16/2020,85
7/17/2020,86
7/18/2020,72
7/19/2020,47
7/20/2020,68
7/21/2020,70
7/22/2020,78
7/23/2020,77
7/24/2020,94
7/25/2020,70
7/26/2020,49
7/27/2020,65
