date,number
3/1/2020,75
3/2/2020,94
3/3/2020,96
3/4/2020,100
3/5/2020,105
3/6/2020,113
3/7/2020,98
3/8/2020,76
3/9/2020,96
3/10/2020,96
3/11/2020,99
3/12/2020,94
3/13/2020,102
3/14/2020,60
3/15/2020,44
3/16/2020,75
3/17/2020,66
3/18/2020,58
3/19/2020,57
3/20/2020,66
3/21/2020,28
3/22/2020,13
3/23/2020,44
3/24/2020,32
3/25/2020,42
3/26/2020,43
3/27/2020,45
3/28/2020,26
3/29/2020,14
3/30/2020,32
3/31/2020,26
4/1/2020,29
4/2/2020,36
4/3/2020,45
4/4/2020,27
4/5/2020,12
4/6/2020,34
4/7/2020,34
4/8/2020,33
4/9/2020,34
4/10/2020,42
4/11/2020,29
4/12/2020,0
4/13/2020,25
4/14/2020,30
4/15/2020,36
4/16/2020,39
4/17/2020,42
4/18/2020,31
4/19/2020,10
4/21/2020,45
4/22/2020,51
4/23/2020,37
4/24/2020,52
4/25/2020,24
4/26/2020,5
4/27/2020,46
4/28/2020,49
4/29/2020,41
4/30/2020,55
5/1/2020,75
5/2/2020,61
5/3/2020,34
5/4/2020,56
5/5/2020,51
5/6/2020,68
5/7/2020,61
5/8/2020,57
5/9/2020,55
5/10/2020,48
5/11/2020,50
5/12/2020,62
5/13/2020,45
5/14/2020,56
5/15/2020,65
5/16/2020,55
5/17/2020,41
5/18/2020,55
5/19/2020,50
5/20/2020,71
5/21/2020,77
5/22/2020,93
5/23/2020,68
5/24/2020,58
5/25/2020,52
5/26/2020,75
5/27/2020,80
5/28/2020,79
5/30/2020,60
5/31/2020,49
6/1/2020,84
6/2/2020,72
6/3/2020,92
6/4/2020,82
6/5/2020,95
6/6/2020,83
6/7/2020,61
6/8/2020,85
6/9/2020,86
6/10/2020,82
6/11/2020,93
6/12/2020,89
6/13/2020,86
6/14/2020,54
6/15/2020,73
6/16/2020,82
6/17/2020,91
6/18/2020,92
6/19/2020,98
6/20/2020,83
6/21/2020,64
6/22/2020,73
6/23/2020,89
6/24/2020,84
6/25/2020,96
6/26/2020,100
6/27/2020,82
6/28/2020,54
6/29/2020,72
6/30/2020,84
7/1/2020,90
7/2/2020,100
7/3/2020,99
7/4/2020,79
7/5/2020,68
7/6/2020,85
7/7/2020,91
7/8/2020,96
7/9/2020,95
7/10/2020,106
7/11/2020,94
7/12/2020,74
7/13/2020,90
7/14/2020,104
7/15/2020,93
7/16/2020,89
7/17/2020,105
7/18/2020,84
7/19/2020,60
7/20/2020,76
7/21/2020,80
7/22/2020,79
7/23/2020,76
7/24/2020,95
7/25/2020,72
7/26/2020,54
7/27/2020,75
