date,number
3/1/2020,73
3/2/2020,99
3/3/2020,100
3/4/2020,92
3/5/2020,105
3/6/2020,117
3/7/2020,101
3/8/2020,77
3/9/2020,96
3/10/2020,99
3/11/2020,100
3/12/2020,103
3/13/2020,106
3/14/2020,80
3/15/2020,59
3/16/2020,83
3/17/2020,70
3/18/2020,64
3/19/2020,64
3/20/2020,68
3/21/2020,37
3/22/2020,21
3/23/2020,44
3/24/2020,30
3/25/2020,37
3/26/2020,38
3/27/2020,44
3/28/2020,24
3/29/2020,14
3/30/2020,30
3/31/2020,32
4/1/2020,36
4/2/2020,36
4/3/2020,43
4/4/2020,21
4/5/2020,13
4/6/2020,34
4/7/2020,34
4/8/2020,39
4/9/2020,42
4/10/2020,42
4/11/2020,32
4/12/2020,1
4/13/2020,40
4/14/2020,41
4/15/2020,46
4/16/2020,48
4/17/2020,55
4/18/2020,31
4/19/2020,8
4/21/2020,52
4/22/2020,49
4/23/2020,48
4/24/2020,59
4/25/2020,42
4/26/2020,27
4/27/2020,53
4/28/2020,50
4/29/2020,47
4/30/2020,65
5/1/2020,80
5/2/2020,60
5/3/2020,47
5/4/2020,61
5/5/2020,68
5/6/2020,80
5/7/2020,70
5/8/2020,67
5/9/2020,60
5/10/2020,52
5/11/2020,60
5/12/2020,71
5/13/2020,60
5/14/2020,53
5/15/2020,70
5/16/2020,58
5/17/2020,42
5/18/2020,74
5/19/2020,71
5/20/2020,80
5/21/2020,87
5/22/2020,95
5/23/2020,70
5/24/2020,57
5/25/2020,48
5/26/2020,76
5/27/2020,85
5/28/2020,84
5/30/2020,58
5/31/2020,51
6/1/2020,83
6/2/2020,76
6/3/2020,87
6/4/2020,88
6/5/2020,95
6/6/2020,77
6/7/2020,26
6/8/2020,67
6/9/2020,89
6/10/2020,86
6/11/2020,92
6/12/2020,92
6/13/2020,85
6/14/2020,57
6/15/2020,76
6/16/2020,85
6/17/2020,92
6/18/2020,95
6/19/2020,95
6/20/2020,82
6/21/2020,64
6/22/2020,69
6/23/2020,84
6/24/2020,73
6/25/2020,87
6/26/2020,93
6/27/2020,80
6/28/2020,59
6/29/2020,76
6/30/2020,88
7/1/2020,90
7/2/2020,94
7/3/2020,83
7/4/2020,63
7/5/2020,49
7/6/2020,76
7/7/2020,82
7/8/2020,91
7/9/2020,92
7/10/2020,99
7/11/2020,84
7/12/2020,67
7/13/2020,86
7/14/2020,93
7/15/2020,87
7/16/2020,84
7/17/2020,96
7/18/2020,75
7/19/2020,51
7/20/2020,76
7/21/2020,79
7/22/2020,81
7/23/2020,80
7/24/2020,83
7/25/2020,60
7/26/2020,41
7/27/2020,71
