date,number
3/1/2020,56
3/2/2020,97
3/3/2020,99
3/4/2020,92
3/5/2020,104
3/6/2020,115
3/7/2020,81
3/8/2020,58
3/9/2020,92
3/10/2020,94
3/11/2020,101
3/12/2020,104
3/13/2020,92
3/14/2020,63
3/15/2020,35
3/16/2020,68
3/17/2020,48
3/18/2020,42
3/19/2020,34
3/20/2020,42
3/21/2020,9
3/22/2020,1
3/23/2020,19
3/24/2020,7
3/25/2020,21
3/26/2020,21
3/27/2020,25
3/28/2020,6
3/29/2020,0
3/30/2020,1
3/31/2020,14
4/1/2020,17
4/2/2020,0
4/3/2020,1
4/4/2020,1
4/5/2020,0
4/6/2020,7
4/7/2020,9
4/8/2020,11
4/9/2020,1
4/10/2020,11
4/11/2020,10
4/12/2020,0
4/13/2020,0
4/14/2020,16
4/15/2020,16
4/16/2020,15
4/17/2020,25
4/18/2020,2
4/19/2020,1
4/21/2020,20
4/22/2020,26
4/23/2020,37
4/24/2020,33
4/25/2020,26
4/26/2020,2
4/27/2020,6
4/28/2020,28
4/29/2020,34
4/30/2020,39
5/1/2020,38
5/2/2020,47
5/3/2020,34
5/4/2020,39
5/5/2020,46
5/6/2020,62
5/7/2020,46
5/8/2020,64
5/9/2020,13
5/10/2020,32
5/11/2020,33
5/12/2020,47
5/13/2020,39
5/14/2020,48
5/15/2020,48
5/16/2020,54
5/17/2020,49
5/18/2020,56
5/19/2020,46
5/20/2020,72
5/21/2020,80
5/22/2020,99
5/23/2020,60
5/24/2020,50
5/25/2020,34
5/26/2020,68
5/27/2020,77
5/28/2020,70
5/30/2020,36
5/31/2020,13
6/1/2020,72
6/2/2020,54
6/3/2020,87
6/4/2020,83
6/5/2020,94
6/6/2020,56
6/7/2020,46
6/8/2020,86
6/9/2020,85
6/10/2020,74
6/11/2020,69
6/12/2020,84
6/13/2020,72
6/14/2020,50
6/15/2020,68
6/16/2020,77
6/17/2020,94
6/18/2020,95
6/19/2020,93
6/20/2020,77
6/21/2020,79
6/22/2020,67
6/23/2020,89
6/24/2020,76
6/25/2020,94
6/26/2020,95
6/27/2020,75
6/28/2020,58
6/29/2020,42
6/30/2020,76
7/1/2020,85
7/2/2020,96
7/3/2020,88
7/4/2020,66
7/5/2020,64
7/6/2020,89
7/7/2020,92
7/8/2020,89
7/9/2020,98
7/10/2020,109
7/11/2020,66
7/12/2020,79
7/13/2020,87
7/14/2020,77
7/15/2020,91
7/16/2020,97
7/17/2020,89
7/18/2020,73
7/19/2020,65
7/20/2020,82
7/21/2020,86
7/22/2020,84
7/23/2020,71
7/24/2020,96
7/25/2020,70
7/26/2020,58
7/27/2020,72
