date,number
3/1/2020,57
3/2/2020,98
3/3/2020,98
3/4/2020,100
3/5/2020,104
3/6/2020,111
3/7/2020,87
3/8/2020,60
3/9/2020,94
3/10/2020,96
3/11/2020,98
3/12/2020,96
3/13/2020,91
3/14/2020,50
3/15/2020,28
3/16/2020,63
3/17/2020,48
3/18/2020,38
3/19/2020,38
3/20/2020,41
3/21/2020,5
3/22/2020,0
3/23/2020,22
3/24/2020,0
3/25/2020,2
3/26/2020,0
3/27/2020,1
3/28/2020,0
3/29/2020,0
3/30/2020,0
3/31/2020,0
4/1/2020,0
4/2/2020,3
4/3/2020,5
4/4/2020,0
4/5/2020,0
4/6/2020,0
4/7/2020,0
4/8/2020,2
4/9/2020,0
4/10/2020,0
4/11/2020,0
4/12/2020,0
4/13/2020,0
4/14/2020,0
4/15/2020,0
4/16/2020,0
4/17/2020,0
4/18/2020,0
4/19/2020,0
4/21/2020,2
4/22/2020,5
4/23/2020,5
4/24/2020,13
4/25/2020,3
4/26/2020,1
4/27/2020,12
4/28/2020,18
4/29/2020,6
4/30/2020,17
5/1/2020,42
5/2/2020,29
5/3/2020,22
5/4/2020,21
5/5/2020,23
5/6/2020,38
5/7/2020,25
5/8/2020,28
5/9/2020,19
5/10/2020,9
5/11/2020,10
5/12/2020,29
5/13/2020,21
5/14/2020,3
5/15/2020,34
5/16/2020,37
5/17/2020,2
5/18/2020,22
5/19/2020,25
5/20/2020,53
5/21/2020,61
5/22/2020,66
5/23/2020,44
5/24/2020,36
5/25/2020,29
5/26/2020,55
5/27/2020,57
5/28/2020,47
5/30/2020,42
5/31/2020,27
6/1/2020,61
6/2/2020,57
6/3/2020,71
6/4/2020,71
6/5/2020,78
6/6/2020,63
6/7/2020,42
6/8/2020,76
6/9/2020,78
6/10/2020,57
6/11/2020,79
6/12/2020,71
6/13/2020,71
6/14/2020,42
6/15/2020,64
6/16/2020,70
6/17/2020,88
6/18/2020,87
6/19/2020,93
6/20/2020,69
6/21/2020,53
6/22/2020,65
6/23/2020,77
6/24/2020,78
6/25/2020,93
6/26/2020,87
6/27/2020,78
6/28/2020,64
6/29/2020,72
6/30/2020,85
7/1/2020,87
7/2/2020,90
7/3/2020,82
7/4/2020,60
7/5/2020,57
7/6/2020,79
7/7/2020,81
7/8/2020,89
7/9/2020,84
7/10/2020,87
7/11/2020,80
7/12/2020,70
7/13/2020,83
7/14/2020,91
7/15/2020,83
7/16/2020,81
7/17/2020,102
7/18/2020,73
7/19/2020,40
7/20/2020,74
7/21/2020,75
7/22/2020,77
7/23/2020,78
7/24/2020,91
7/25/2020,67
7/26/2020,50
7/27/2020,68
