date,number
3/1/2020,58
3/2/2020,97
3/3/2020,98
3/4/2020,100
3/5/2020,105
3/6/2020,118
3/7/2020,87
3/8/2020,57
3/9/2020,94
3/10/2020,97
3/11/2020,101
3/12/2020,98
3/13/2020,100
3/14/2020,55
3/15/2020,30
3/16/2020,65
3/17/2020,51
3/18/2020,33
3/19/2020,26
3/20/2020,37
3/21/2020,1
3/22/2020,0
3/23/2020,19
3/24/2020,14
3/25/2020,16
3/26/2020,21
3/27/2020,24
3/28/2020,0
3/29/2020,0
3/30/2020,4
3/31/2020,7
4/1/2020,6
4/2/2020,6
4/3/2020,2
4/4/2020,1
4/5/2020,0
4/6/2020,5
4/7/2020,10
4/8/2020,6
4/9/2020,3
4/10/2020,17
4/11/2020,6
4/12/2020,0
4/13/2020,1
4/14/2020,1
4/15/2020,6
4/16/2020,9
4/17/2020,19
4/18/2020,8
4/19/2020,0
4/21/2020,24
4/22/2020,35
4/23/2020,32
4/24/2020,36
4/25/2020,20
4/26/2020,5
4/27/2020,26
4/28/2020,16
4/29/2020,27
4/30/2020,47
5/1/2020,60
5/2/2020,44
5/3/2020,31
5/4/2020,32
5/5/2020,30
5/6/2020,48
5/7/2020,34
5/8/2020,47
5/9/2020,27
5/10/2020,14
5/11/2020,21
5/12/2020,37
5/13/2020,16
5/14/2020,27
5/15/2020,58
5/16/2020,32
5/17/2020,4
5/18/2020,44
5/19/2020,42
5/20/2020,62
5/21/2020,68
5/22/2020,87
5/23/2020,40
5/24/2020,33
5/25/2020,27
5/26/2020,52
5/27/2020,67
5/28/2020,62
5/30/2020,37
5/31/2020,34
6/1/2020,66
6/2/2020,56
6/3/2020,80
6/4/2020,78
6/5/2020,95
6/6/2020,69
6/7/2020,44
6/8/2020,79
6/9/2020,71
6/10/2020,71
6/11/2020,85
6/12/2020,80
6/13/2020,72
6/14/2020,42
6/15/2020,58
6/16/2020,69
6/17/2020,85
6/18/2020,76
6/19/2020,100
6/20/2020,59
6/21/2020,55
6/22/2020,67
6/23/2020,81
6/24/2020,78
6/25/2020,95
6/26/2020,96
6/27/2020,84
6/28/2020,60
6/29/2020,67
6/30/2020,88
7/1/2020,91
7/2/2020,97
7/3/2020,85
7/4/2020,51
7/5/2020,53
7/6/2020,72
7/7/2020,84
7/8/2020,81
7/9/2020,84
7/10/2020,110
7/11/2020,69
7/12/2020,74
7/13/2020,81
7/14/2020,79
7/15/2020,86
7/16/2020,91
7/17/2020,90
7/18/2020,52
7/19/2020,60
7/20/2020,74
7/21/2020,72
7/22/2020,83
7/23/2020,80
7/24/2020,98
7/25/2020,55
7/26/2020,45
7/27/2020,72
