date,number
3/1/2020,78
3/2/2020,99
3/3/2020,100
3/4/2020,92
3/5/2020,106
3/6/2020,127
3/7/2020,110
3/8/2020,81
3/9/2020,102
3/10/2020,102
3/11/2020,104
3/12/2020,109
3/13/2020,111
3/14/2020,85
3/15/2020,60
3/16/2020,88
3/17/2020,80
3/18/2020,75
3/19/2020,75
3/20/2020,77
3/21/2020,49
3/22/2020,23
3/23/2020,56
3/24/2020,51
3/25/2020,57
3/26/2020,60
3/27/2020,66
3/28/2020,42
3/29/2020,29
3/30/2020,49
3/31/2020,49
4/1/2020,56
4/2/2020,58
4/3/2020,58
4/4/2020,23
4/5/2020,15
4/6/2020,44
4/7/2020,41
4/8/2020,46
4/9/2020,51
4/10/2020,57
4/11/2020,42
4/12/2020,0
4/13/2020,50
4/14/2020,52
4/15/2020,57
4/16/2020,60
4/17/2020,67
4/18/2020,48
4/19/2020,6
4/21/2020,62
4/22/2020,58
4/23/2020,54
4/24/2020,70
4/25/2020,46
4/26/2020,32
4/27/2020,63
4/28/2020,64
4/29/2020,58
4/30/2020,77
5/1/2020,91
5/2/2020,69
5/3/2020,54
5/4/2020,74
5/5/2020,80
5/6/2020,93
5/7/2020,83
5/8/2020,79
5/9/2020,76
5/10/2020,63
5/11/2020,75
5/12/2020,85
5/13/2020,75
5/14/2020,73
5/15/2020,85
5/16/2020,74
5/17/2020,48
5/18/2020,79
5/19/2020,79
5/20/2020,87
5/21/2020,94
5/22/2020,104
5/23/2020,79
5/24/2020,66
5/25/2020,57
5/26/2020,83
5/27/2020,87
5/28/2020,91
5/30/2020,63
5/31/2020,58
6/1/2020,92
6/2/2020,82
6/3/2020,95
6/4/2020,94
6/5/2020,102
6/6/2020,92
6/7/2020,50
6/8/2020,76
6/9/2020,94
6/10/2020,94
6/11/2020,100
6/12/2020,100
6/13/2020,93
6/14/2020,62
6/15/2020,82
6/16/2020,94
6/17/2020,99
6/18/2020,102
6/19/2020,104
6/20/2020,93
6/21/2020,77
6/22/2020,78
6/23/2020,93
6/24/2020,83
6/25/2020,98
6/26/2020,105
6/27/2020,94
6/28/2020,72
6/29/2020,83
6/30/2020,97
7/1/2020,96
7/2/2020,101
7/3/2020,98
7/4/2020,69
7/5/2020,63
7/6/2020,91
7/7/2020,93
7/8/2020,95
7/9/2020,100
7/10/2020,111
7/11/2020,96
7/12/2020,74
7/13/2020,95
7/14/2020,103
7/15/2020,96
7/16/2020,96
7/17/2020,106
7/18/2020,89
7/19/2020,61
7/20/2020,86
7/21/2020,89
7/22/2020,88
7/23/2020,89
7/24/2020,99
7/25/2020,74
7/26/2020,57
7/27/2020,82
