date,number
3/1/2020,70
3/2/2020,95
3/3/2020,100
3/4/2020,98
3/5/2020,104
3/6/2020,117
3/7/2020,98
3/8/2020,71
3/9/2020,89
3/10/2020,97
3/11/2020,100
3/12/2020,99
3/13/2020,108
3/14/2020,65
3/15/2020,45
3/16/2020,77
3/17/2020,70
3/18/2020,56
3/19/2020,50
3/20/2020,60
3/21/2020,29
3/22/2020,6
3/23/2020,35
3/24/2020,20
3/25/2020,32
3/26/2020,31
3/27/2020,31
3/28/2020,14
3/29/2020,10
3/30/2020,25
3/31/2020,27
4/1/2020,30
4/2/2020,29
4/3/2020,29
4/4/2020,10
4/5/2020,4
4/6/2020,19
4/7/2020,27
4/8/2020,28
4/9/2020,26
4/10/2020,37
4/11/2020,19
4/12/2020,0
4/13/2020,22
4/14/2020,26
4/15/2020,31
4/16/2020,31
4/17/2020,35
4/18/2020,30
4/19/2020,13
4/21/2020,42
4/22/2020,36
4/23/2020,37
4/24/2020,41
4/25/2020,23
4/26/2020,22
4/27/2020,38
4/28/2020,39
4/29/2020,38
4/30/2020,54
5/1/2020,68
5/2/2020,53
5/3/2020,32
5/4/2020,39
5/5/2020,55
5/6/2020,69
5/7/2020,55
5/8/2020,64
5/9/2020,58
5/10/2020,47
5/11/2020,45
5/12/2020,54
5/13/2020,40
5/14/2020,46
5/15/2020,57
5/16/2020,49
5/17/2020,36
5/18/2020,58
5/19/2020,56
5/20/2020,69
5/21/2020,76
5/22/2020,84
5/23/2020,65
5/24/2020,50
5/25/2020,36
5/26/2020,64
5/27/2020,69
5/28/2020,66
5/30/2020,52
5/31/2020,50
6/1/2020,74
6/2/2020,71
6/3/2020,80
6/4/2020,77
6/5/2020,89
6/6/2020,77
6/7/2020,56
6/8/2020,77
6/9/2020,75
6/10/2020,80
6/11/2020,86
6/12/2020,84
6/13/2020,79
6/14/2020,53
6/15/2020,65
6/16/2020,78
6/17/2020,86
6/18/2020,89
6/19/2020,89
6/20/2020,71
6/21/2020,68
6/22/2020,65
6/23/2020,84
6/24/2020,78
6/25/2020,90
6/26/2020,94
6/27/2020,79
6/28/2020,64
6/29/2020,73
6/30/2020,81
7/1/2020,84
7/2/2020,92
7/3/2020,86
7/4/2020,62
7/5/2020,60
7/6/2020,79
7/7/2020,84
7/8/2020,88
7/9/2020,87
7/10/2020,102
7/11/2020,80
7/12/2020,70
7/13/2020,81
7/14/2020,87
7/15/2020,78
7/16/2020,85
7/17/2020,88
7/18/2020,73
7/19/2020,52
7/20/2020,68
7/21/2020,70
7/22/2020,75
7/23/2020,74
7/24/2020,90
7/25/2020,65
7/26/2020,52
7/27/2020,64
