date,number
3/1/2020,62
3/2/2020,99
3/3/2020,98
3/4/2020,100
3/5/2020,108
3/6/2020,120
3/7/2020,92
3/8/2020,58
3/9/2020,95
3/10/2020,102
3/11/2020,105
3/12/2020,109
3/13/2020,109
3/14/2020,51
3/15/2020,27
3/16/2020,78
3/17/2020,70
3/18/2020,64
3/19/2020,61
3/20/2020,70
3/21/2020,25
3/22/2020,11
3/23/2020,50
3/24/2020,38
3/25/2020,43
3/26/2020,46
3/27/2020,53
3/28/2020,1
3/29/2020,1
3/30/2020,20
3/31/2020,17
4/1/2020,12
4/2/2020,20
4/3/2020,24
4/4/2020,8
4/5/2020,1
4/6/2020,22
4/7/2020,28
4/8/2020,31
4/9/2020,37
4/10/2020,46
4/11/2020,1
4/12/2020,0
4/13/2020,22
4/14/2020,24
4/15/2020,24
4/16/2020,35
4/17/2020,48
4/18/2020,12
4/19/2020,2
4/21/2020,50
4/22/2020,49
4/23/2020,41
4/24/2020,49
4/25/2020,28
4/26/2020,12
4/27/2020,47
4/28/2020,55
4/29/2020,59
4/30/2020,68
5/1/2020,98
5/2/2020,83
5/3/2020,40
5/4/2020,68
5/5/2020,78
5/6/2020,87
5/7/2020,63
5/8/2020,86
5/9/2020,71
5/10/2020,52
5/11/2020,55
5/12/2020,65
5/13/2020,60
5/14/2020,69
5/15/2020,85
5/16/2020,87
5/17/2020,60
5/18/2020,81
5/19/2020,78
5/20/2020,93
5/21/2020,98
5/22/2020,119
5/23/2020,70
5/24/2020,72
5/25/2020,74
5/26/2020,99
5/27/2020,108
5/28/2020,108
5/30/2020,68
5/31/2020,70
6/1/2020,105
6/2/2020,108
6/3/2020,116
6/4/2020,114
6/5/2020,126
6/6/2020,96
6/7/2020,64
6/8/2020,102
6/9/2020,112
6/10/2020,118
6/11/2020,126
6/12/2020,118
6/13/2020,111
6/14/2020,68
6/15/2020,99
6/16/2020,99
6/17/2020,109
6/18/2020,120
6/19/2020,134
6/20/2020,104
6/21/2020,97
6/22/2020,111
6/23/2020,128
6/24/2020,116
6/25/2020,133
6/26/2020,142
6/27/2020,118
6/28/2020,94
6/29/2020,100
6/30/2020,112
7/1/2020,132
7/2/2020,147
7/3/2020,143
7/4/2020,98
7/5/2020,114
7/6/2020,135
7/7/2020,125
7/8/2020,132
7/9/2020,137
7/10/2020,146
7/11/2020,132
7/12/2020,114
7/13/2020,123
7/14/2020,125
7/15/2020,120
7/16/2020,128
7/17/2020,114
7/18/2020,110
7/19/2020,101
7/20/2020,111
7/21/2020,109
7/22/2020,112
7/23/2020,101
7/24/2020,129
7/25/2020,100
7/26/2020,91
7/27/2020,109
