date,number
3/1/2020,70
3/2/2020,94
3/3/2020,97
3/4/2020,100
3/5/2020,105
3/6/2020,121
3/7/2020,102
3/8/2020,70
3/9/2020,88
3/10/2020,95
3/11/2020,100
3/12/2020,99
3/13/2020,99
3/14/2020,50
3/15/2020,38
3/16/2020,74
3/17/2020,66
3/18/2020,57
3/19/2020,50
3/20/2020,57
3/21/2020,30
3/22/2020,13
3/23/2020,45
3/24/2020,46
3/25/2020,50
3/26/2020,45
3/27/2020,49
3/28/2020,18
3/29/2020,20
3/30/2020,40
3/31/2020,44
4/1/2020,47
4/2/2020,35
4/3/2020,36
4/4/2020,24
4/5/2020,13
4/6/2020,39
4/7/2020,47
4/8/2020,44
4/9/2020,40
4/10/2020,50
4/11/2020,34
4/12/2020,0
4/13/2020,30
4/14/2020,35
4/15/2020,42
4/16/2020,24
4/17/2020,44
4/18/2020,40
4/19/2020,19
4/21/2020,51
4/22/2020,55
4/23/2020,56
4/24/2020,53
4/25/2020,40
4/26/2020,27
4/27/2020,51
4/28/2020,49
4/29/2020,50
4/30/2020,64
5/1/2020,84
5/2/2020,52
5/3/2020,45
5/4/2020,46
5/5/2020,59
5/6/2020,75
5/7/2020,55
5/8/2020,72
5/9/2020,56
5/10/2020,46
5/11/2020,49
5/12/2020,61
5/13/2020,49
5/14/2020,50
5/15/2020,72
5/16/2020,50
5/17/2020,39
5/18/2020,62
5/19/2020,63
5/20/2020,75
5/21/2020,75
5/22/2020,84
5/23/2020,72
5/24/2020,46
5/25/2020,27
5/26/2020,64
5/27/2020,78
5/28/2020,78
5/30/2020,41
5/31/2020,48
6/1/2020,73
6/2/2020,75
6/3/2020,87
6/4/2020,87
6/5/2020,102
6/6/2020,85
6/7/2020,54
6/8/2020,84
6/9/2020,75
6/10/2020,87
6/11/2020,94
6/12/2020,94
6/13/2020,88
6/14/2020,51
6/15/2020,72
6/16/2020,83
6/17/2020,92
6/18/2020,89
6/19/2020,97
6/20/2020,83
6/21/2020,68
6/22/2020,76
6/23/2020,94
6/24/2020,91
6/25/2020,101
6/26/2020,106
6/27/2020,101
6/28/2020,76
6/29/2020,86
6/30/2020,99
7/1/2020,103
7/2/2020,106
7/3/2020,106
7/4/2020,74
7/5/2020,66
7/6/2020,89
7/7/2020,97
7/8/2020,97
7/9/2020,98
7/10/2020,116
7/11/2020,97
7/12/2020,84
7/13/2020,88
7/14/2020,94
7/15/2020,91
7/16/2020,97
7/17/2020,100
7/18/2020,84
7/19/2020,64
7/20/2020,78
7/21/2020,83
7/22/2020,89
7/23/2020,88
7/24/2020,108
7/25/2020,86
7/26/2020,61
7/27/2020,81
