date,number
3/1/2020,62
3/2/2020,99
3/3/2020,100
3/4/2020,99
3/5/2020,104
3/6/2020,107
3/7/2020,84
3/8/2020,70
3/9/2020,95
3/10/2020,97
3/11/2020,96
3/12/2020,98
3/13/2020,100
3/14/2020,67
3/15/2020,48
3/16/2020,80
3/17/2020,61
3/18/2020,43
3/19/2020,25
3/20/2020,39
3/21/2020,5
3/22/2020,2
3/23/2020,12
3/24/2020,12
3/25/2020,11
3/26/2020,10
3/27/2020,19
3/28/2020,3
3/29/2020,0
3/30/2020,7
3/31/2020,9
4/1/2020,11
4/2/2020,9
4/3/2020,16
4/4/2020,2
4/5/2020,0
4/6/2020,3
4/7/2020,4
4/8/2020,4
4/9/2020,4
4/10/2020,14
4/11/2020,3
4/12/2020,0
4/13/2020,6
4/14/2020,7
4/15/2020,13
4/16/2020,13
4/17/2020,20
4/18/2020,5
4/19/2020,0
4/21/2020,6
4/22/2020,8
4/23/2020,7
4/24/2020,10
4/25/2020,1
4/26/2020,0
4/27/2020,7
4/28/2020,7
4/29/2020,11
4/30/2020,15
5/1/2020,32
5/2/2020,15
5/3/2020,7
5/4/2020,12
5/5/2020,14
5/6/2020,22
5/7/2020,8
5/8/2020,18
5/9/2020,7
5/10/2020,2
5/11/2020,4
5/12/2020,12
5/13/2020,17
5/14/2020,19
5/15/2020,35
5/16/2020,27
5/17/2020,6
5/18/2020,23
5/19/2020,27
5/20/2020,43
5/21/2020,43
5/22/2020,49
5/23/2020,32
5/24/2020,23
5/25/2020,21
5/26/2020,40
5/27/2020,42
5/28/2020,45
5/30/2020,14
5/31/2020,23
6/1/2020,44
6/2/2020,45
6/3/2020,50
6/4/2020,50
6/5/2020,54
6/6/2020,46
6/7/2020,30
6/8/2020,59
6/9/2020,56
6/10/2020,60
6/11/2020,59
6/12/2020,51
6/13/2020,50
6/14/2020,40
6/15/2020,50
6/16/2020,49
6/17/2020,59
6/18/2020,62
6/19/2020,62
6/20/2020,56
6/21/2020,38
6/22/2020,54
6/23/2020,58
6/24/2020,57
6/25/2020,59
6/26/2020,63
6/27/2020,51
6/28/2020,35
6/29/2020,52
6/30/2020,61
7/1/2020,64
7/2/2020,67
7/3/2020,59
7/4/2020,41
7/5/2020,32
7/6/2020,58
7/7/2020,59
7/8/2020,60
7/9/2020,60
7/10/2020,66
7/11/2020,48
7/12/2020,36
7/13/2020,51
7/14/2020,57
7/15/2020,54
7/16/2020,54
7/17/2020,37
7/18/2020,10
7/19/2020,19
7/20/2020,45
7/21/2020,44
7/22/2020,45
7/23/2020,45
7/24/2020,55
7/25/2020,34
7/26/2020,23
7/27/2020,43
