date,number
3/1/2020,58
3/2/2020,97
3/3/2020,100
3/4/2020,95
3/5/2020,104
3/6/2020,113
3/7/2020,82
3/8/2020,63
3/9/2020,97
3/10/2020,96
3/11/2020,100
3/12/2020,99
3/13/2020,94
3/14/2020,62
3/15/2020,39
3/16/2020,64
3/17/2020,47
3/18/2020,40
3/19/2020,32
3/20/2020,45
3/21/2020,16
3/22/2020,4
3/23/2020,13
3/24/2020,8
3/25/2020,17
3/26/2020,22
3/27/2020,31
3/28/2020,3
3/29/2020,0
3/30/2020,2
3/31/2020,10
4/1/2020,9
4/2/2020,4
4/3/2020,7
4/4/2020,6
4/5/2020,0
4/6/2020,13
4/7/2020,15
4/8/2020,10
4/9/2020,0
4/10/2020,19
4/11/2020,11
4/12/2020,0
4/13/2020,0
4/14/2020,13
4/15/2020,15
4/16/2020,14
4/17/2020,21
4/18/2020,0
4/19/2020,3
4/21/2020,18
4/22/2020,26
4/23/2020,36
4/24/2020,27
4/25/2020,27
4/26/2020,1
4/27/2020,9
4/28/2020,29
4/29/2020,35
4/30/2020,27
5/1/2020,34
5/2/2020,38
5/3/2020,32
5/4/2020,27
5/5/2020,32
5/6/2020,42
5/7/2020,31
5/8/2020,44
5/9/2020,20
5/10/2020,22
5/11/2020,16
5/12/2020,31
5/13/2020,26
5/14/2020,28
5/15/2020,33
5/16/2020,43
5/17/2020,31
5/18/2020,37
5/19/2020,33
5/20/2020,54
5/21/2020,60
5/22/2020,73
5/23/2020,46
5/24/2020,39
5/25/2020,26
5/26/2020,52
5/27/2020,58
5/28/2020,50
5/30/2020,38
5/31/2020,17
6/1/2020,56
6/2/2020,45
6/3/2020,67
6/4/2020,64
6/5/2020,69
6/6/2020,53
6/7/2020,37
6/8/2020,66
6/9/2020,66
6/10/2020,61
6/11/2020,61
6/12/2020,65
6/13/2020,60
6/14/2020,37
6/15/2020,52
6/16/2020,58
6/17/2020,76
6/18/2020,75
6/19/2020,79
6/20/2020,58
6/21/2020,55
6/22/2020,55
6/23/2020,70
6/24/2020,62
6/25/2020,82
6/26/2020,81
6/27/2020,62
6/28/2020,45
6/29/2020,48
6/30/2020,68
7/1/2020,74
7/2/2020,82
7/3/2020,67
7/4/2020,50
7/5/2020,56
7/6/2020,74
7/7/2020,77
7/8/2020,73
7/9/2020,81
7/10/2020,84
7/11/2020,57
7/12/2020,64
7/13/2020,68
7/14/2020,67
7/15/2020,77
7/16/2020,82
7/17/2020,77
7/18/2020,67
7/19/2020,54
7/20/2020,67
7/21/2020,70
7/22/2020,70
7/23/2020,61
7/24/2020,85
7/25/2020,62
7/26/2020,52
7/27/2020,64
