date,number
3/1/2020,60
3/2/2020,100
3/3/2020,98
3/4/2020,99
3/5/2020,104
3/6/2020,102
3/7/2020,82
3/8/2020,59
3/9/2020,93
3/10/2020,93
3/11/2020,94
3/12/2020,90
3/13/2020,82
3/14/2020,52
3/15/2020,27
3/16/2020,49
3/17/2020,28
3/18/2020,22
3/19/2020,18
3/20/2020,31
3/21/2020,5
3/22/2020,0
3/23/2020,0
3/24/2020,2
3/25/2020,0
3/26/2020,3
3/27/2020,5
3/28/2020,0
3/29/2020,0
3/30/2020,0
3/31/2020,0
4/1/2020,0
4/2/2020,0
4/3/2020,0
4/4/2020,0
4/5/2020,0
4/6/2020,1
4/7/2020,1
4/8/2020,0
4/9/2020,0
4/10/2020,0
4/11/2020,0
4/12/2020,0
4/13/2020,0
4/14/2020,1
4/15/2020,0
4/16/2020,0
4/17/2020,2
4/18/2020,0
4/19/2020,0
4/21/2020,1
4/22/2020,4
4/23/2020,4
4/24/2020,1
4/25/2020,5
4/26/2020,0
4/27/2020,1
4/28/2020,9
4/29/2020,5
4/30/2020,1
5/1/2020,11
5/2/2020,14
5/3/2020,7
5/4/2020,5
5/5/2020,9
5/6/2020,7
5/7/2020,7
5/8/2020,6
5/9/2020,2
5/10/2020,6
5/11/2020,0
5/12/2020,7
5/13/2020,2
5/14/2020,4
5/15/2020,17
5/16/2020,19
5/17/2020,8
5/18/2020,9
5/19/2020,6
5/20/2020,18
5/21/2020,26
5/22/2020,30
5/23/2020,7
5/24/2020,15
5/25/2020,9
5/26/2020,25
5/27/2020,28
5/28/2020,18
5/30/2020,18
5/31/2020,7
6/1/2020,30
6/2/2020,21
6/3/2020,31
6/4/2020,32
6/5/2020,33
6/6/2020,33
6/7/2020,22
6/8/2020,38
6/9/2020,43
6/10/2020,36
6/11/2020,30
6/12/2020,38
6/13/2020,38
6/14/2020,17
6/15/2020,27
6/16/2020,36
6/17/2020,44
6/18/2020,42
6/19/2020,49
6/20/2020,35
6/21/2020,30
6/22/2020,35
6/23/2020,49
6/24/2020,44
6/25/2020,54
6/26/2020,57
6/27/2020,43
6/28/2020,29
6/29/2020,43
6/30/2020,54
7/1/2020,52
7/2/2020,63
7/3/2020,57
7/4/2020,39
7/5/2020,33
7/6/2020,44
7/7/2020,55
7/8/2020,62
7/9/2020,63
7/10/2020,39
7/11/2020,51
7/12/2020,55
7/13/2020,60
7/14/2020,79
7/15/2020,67
7/16/2020,63
7/17/2020,77
7/18/2020,58
7/19/2020,35
7/20/2020,46
7/21/2020,52
7/22/2020,48
7/23/2020,47
7/24/2020,55
7/25/2020,47
7/26/2020,30
7/27/2020,47
