date,number
3/1/2020,61
3/2/2020,99
3/3/2020,99
3/4/2020,100
3/5/2020,109
3/6/2020,117
3/7/2020,93
3/8/2020,59
3/9/2020,100
3/10/2020,104
3/11/2020,106
3/12/2020,107
3/13/2020,103
3/14/2020,71
3/15/2020,45
3/16/2020,77
3/17/2020,63
3/18/2020,59
3/19/2020,51
3/20/2020,60
3/21/2020,21
3/22/2020,13
3/23/2020,40
3/24/2020,22
3/25/2020,21
3/26/2020,17
3/27/2020,21
3/28/2020,5
3/29/2020,1
3/30/2020,14
3/31/2020,20
4/1/2020,20
4/2/2020,21
4/3/2020,28
4/4/2020,9
4/5/2020,1
4/6/2020,16
4/7/2020,18
4/8/2020,18
4/9/2020,17
4/10/2020,24
4/11/2020,6
4/12/2020,0
4/13/2020,5
4/14/2020,15
4/15/2020,22
4/16/2020,23
4/17/2020,32
4/18/2020,9
4/19/2020,2
4/21/2020,29
4/22/2020,34
4/23/2020,35
4/24/2020,35
4/25/2020,17
4/26/2020,3
4/27/2020,28
4/28/2020,30
4/29/2020,32
4/30/2020,42
5/1/2020,59
5/2/2020,37
5/3/2020,24
5/4/2020,33
5/5/2020,39
5/6/2020,48
5/7/2020,35
5/8/2020,45
5/9/2020,33
5/10/2020,22
5/11/2020,23
5/12/2020,39
5/13/2020,25
5/14/2020,26
5/15/2020,54
5/16/2020,45
5/17/2020,28
5/18/2020,50
5/19/2020,43
5/20/2020,62
5/21/2020,65
5/22/2020,78
5/23/2020,50
5/24/2020,38
5/25/2020,30
5/26/2020,60
5/27/2020,61
5/28/2020,63
5/30/2020,37
5/31/2020,33
6/1/2020,65
6/2/2020,63
6/3/2020,70
6/4/2020,70
6/5/2020,76
6/6/2020,58
6/7/2020,38
6/8/2020,71
6/9/2020,72
6/10/2020,72
6/11/2020,73
6/12/2020,66
6/13/2020,66
6/14/2020,36
6/15/2020,54
6/16/2020,61
6/17/2020,78
6/18/2020,79
6/19/2020,85
6/20/2020,62
6/21/2020,47
6/22/2020,60
6/23/2020,69
6/24/2020,66
6/25/2020,81
6/26/2020,80
6/27/2020,68
6/28/2020,52
6/29/2020,68
6/30/2020,77
7/1/2020,79
7/2/2020,81
7/3/2020,77
7/4/2020,49
7/5/2020,40
7/6/2020,68
7/7/2020,75
7/8/2020,76
7/9/2020,73
7/10/2020,84
7/11/2020,64
7/12/2020,44
7/13/2020,61
7/14/2020,67
7/15/2020,64
7/16/2020,65
7/17/2020,67
7/18/2020,51
7/19/2020,37
7/20/2020,55
7/21/2020,54
7/22/2020,61
7/23/2020,56
7/24/2020,70
7/25/2020,44
7/26/2020,31
7/27/2020,53
