date,number
3/1/2020,51
3/2/2020,100
3/3/2020,98
3/4/2020,99
3/5/2020,105
3/6/2020,106
3/7/2020,77
3/8/2020,49
3/9/2020,94
3/10/2020,93
3/11/2020,95
3/12/2020,91
3/13/2020,86
3/14/2020,47
3/15/2020,21
3/16/2020,50
3/17/2020,28
3/18/2020,23
3/19/2020,16
3/20/2020,22
3/21/2020,1
3/22/2020,0
3/23/2020,0
3/24/2020,0
3/25/2020,0
3/26/2020,0
3/27/2020,1
3/28/2020,0
3/29/2020,0
3/30/2020,0
3/31/2020,0
4/1/2020,0
4/2/2020,0
4/3/2020,0
4/4/2020,0
4/5/2020,0
4/6/2020,0
4/7/2020,0
4/8/2020,0
4/9/2020,0
4/10/2020,0
4/11/2020,0
4/12/2020,0
4/13/2020,0
4/14/2020,0
4/15/2020,0
4/16/2020,0
4/17/2020,0
4/18/2020,0
4/19/2020,0
4/21/2020,0
4/22/2020,1
4/23/2020,1
4/24/2020,1
4/25/2020,1
4/26/2020,0
4/27/2020,0
4/28/2020,3
4/29/2020,1
4/30/2020,1
5/1/2020,5
5/2/2020,8
5/3/2020,4
5/4/2020,1
5/5/2020,3
5/6/2020,2
5/7/2020,2
5/8/2020,1
5/9/2020,0
5/10/2020,1
5/11/2020,0
5/12/2020,1
5/13/2020,1
5/14/2020,1
5/15/2020,9
5/16/2020,13
5/17/2020,3
5/18/2020,5
5/19/2020,4
5/20/2020,19
5/21/2020,26
5/22/2020,35
5/23/2020,5
5/24/2020,12
5/25/2020,6
5/26/2020,25
5/27/2020,27
5/28/2020,15
5/30/2020,12
5/31/2020,1
6/1/2020,28
6/2/2020,15
6/3/2020,31
6/4/2020,32
6/5/2020,34
6/6/2020,28
6/7/2020,14
6/8/2020,39
6/9/2020,43
6/10/2020,37
6/11/2020,34
6/12/2020,39
6/13/2020,35
6/14/2020,13
6/15/2020,27
6/16/2020,33
6/17/2020,48
6/18/2020,48
6/19/2020,57
6/20/2020,38
6/21/2020,24
6/22/2020,31
6/23/2020,48
6/24/2020,43
6/25/2020,56
6/26/2020,60
6/27/2020,37
6/28/2020,24
6/29/2020,36
6/30/2020,54
7/1/2020,54
7/2/2020,66
7/3/2020,59
7/4/2020,41
7/5/2020,33
7/6/2020,50
7/7/2020,56
7/8/2020,64
7/9/2020,66
7/10/2020,52
7/11/2020,47
7/12/2020,57
7/13/2020,62
7/14/2020,90
7/15/2020,72
7/16/2020,61
7/17/2020,95
7/18/2020,60
7/19/2020,32
7/20/2020,46
7/21/2020,51
7/22/2020,48
7/23/2020,46
7/24/2020,58
7/25/2020,42
7/26/2020,24
7/27/2020,44
