date,number
3/1/2020,73
3/2/2020,100
3/3/2020,96
3/4/2020,98
3/5/2020,100
3/6/2020,113
3/7/2020,93
3/8/2020,72
3/9/2020,98
3/10/2020,99
3/11/2020,101
3/12/2020,101
3/13/2020,102
3/14/2020,73
3/15/2020,45
3/16/2020,79
3/17/2020,68
3/18/2020,60
3/19/2020,63
3/20/2020,71
3/21/2020,37
3/22/2020,14
3/23/2020,40
3/24/2020,42
3/25/2020,46
3/26/2020,40
3/27/2020,45
3/28/2020,23
3/29/2020,10
3/30/2020,31
3/31/2020,19
4/1/2020,23
4/2/2020,30
4/3/2020,38
4/4/2020,19
4/5/2020,5
4/6/2020,28
4/7/2020,30
4/8/2020,32
4/9/2020,34
4/10/2020,35
4/11/2020,25
4/12/2020,0
4/13/2020,17
4/14/2020,35
4/15/2020,34
4/16/2020,40
4/17/2020,48
4/18/2020,27
4/19/2020,6
4/21/2020,45
4/22/2020,50
4/23/2020,38
4/24/2020,53
4/25/2020,29
4/26/2020,15
4/27/2020,45
4/28/2020,51
4/29/2020,48
4/30/2020,48
5/1/2020,67
5/2/2020,52
5/3/2020,40
5/4/2020,52
5/5/2020,55
5/6/2020,66
5/7/2020,58
5/8/2020,64
5/9/2020,57
5/10/2020,46
5/11/2020,51
5/12/2020,61
5/13/2020,49
5/14/2020,53
5/15/2020,66
5/16/2020,58
5/17/2020,40
5/18/2020,54
5/19/2020,39
5/20/2020,52
5/21/2020,59
5/22/2020,78
5/23/2020,61
5/24/2020,46
5/25/2020,40
5/26/2020,71
5/27/2020,67
5/28/2020,66
5/30/2020,52
5/31/2020,34
6/1/2020,75
6/2/2020,65
6/3/2020,83
6/4/2020,78
6/5/2020,82
6/6/2020,72
6/7/2020,50
6/8/2020,76
6/9/2020,80
6/10/2020,73
6/11/2020,78
6/12/2020,75
6/13/2020,72
6/14/2020,41
6/15/2020,54
6/16/2020,56
6/17/2020,73
6/18/2020,78
6/19/2020,80
6/20/2020,68
6/21/2020,56
6/22/2020,64
6/23/2020,76
6/24/2020,73
6/25/2020,82
6/26/2020,86
6/27/2020,76
6/28/2020,49
6/29/2020,64
6/30/2020,77
7/1/2020,79
7/2/2020,85
7/3/2020,82
7/4/2020,61
7/5/2020,49
7/6/2020,75
7/7/2020,76
7/8/2020,83
7/9/2020,83
7/10/2020,91
7/11/2020,81
7/12/2020,70
7/13/2020,80
7/14/2020,94
7/15/2020,84
7/16/2020,81
7/17/2020,102
7/18/2020,73
7/19/2020,49
7/20/2020,68
7/21/2020,70
7/22/2020,72
7/23/2020,69
7/24/2020,81
7/25/2020,64
7/26/2020,47
7/27/2020,68
