date,number
3/1/2020,60
3/2/2020,96
3/3/2020,96
3/4/2020,100
3/5/2020,102
3/6/2020,116
3/7/2020,91
3/8/2020,62
3/9/2020,96
3/10/2020,99
3/11/2020,103
3/12/2020,106
3/13/2020,113
3/14/2020,76
3/15/2020,39
3/16/2020,84
3/17/2020,81
3/18/2020,69
3/19/2020,62
3/20/2020,69
3/21/2020,12
3/22/2020,6
3/23/2020,56
3/24/2020,54
3/25/2020,53
3/26/2020,54
3/27/2020,60
3/28/2020,20
3/29/2020,7
3/30/2020,42
3/31/2020,43
4/1/2020,31
4/2/2020,15
4/3/2020,30
4/4/2020,3
4/5/2020,1
4/6/2020,38
4/7/2020,45
4/8/2020,37
4/9/2020,43
4/10/2020,54
4/11/2020,15
4/12/2020,0
4/13/2020,28
4/14/2020,35
4/15/2020,45
4/16/2020,47
4/17/2020,57
4/18/2020,19
4/19/2020,2
4/21/2020,61
4/22/2020,66
4/23/2020,64
4/24/2020,70
4/25/2020,34
4/26/2020,10
4/27/2020,58
4/28/2020,56
4/29/2020,63
4/30/2020,82
5/1/2020,101
5/2/2020,74
5/3/2020,51
5/4/2020,66
5/5/2020,74
5/6/2020,99
5/7/2020,77
5/8/2020,95
5/9/2020,39
5/10/2020,42
5/11/2020,68
5/12/2020,85
5/13/2020,63
5/14/2020,72
5/15/2020,107
5/16/2020,89
5/17/2020,76
5/18/2020,92
5/19/2020,91
5/20/2020,104
5/21/2020,113
5/22/2020,141
5/23/2020,97
5/24/2020,66
5/25/2020,71
5/26/2020,104
5/27/2020,109
5/28/2020,109
5/30/2020,77
5/31/2020,70
6/1/2020,109
6/2/2020,107
6/3/2020,119
6/4/2020,118
6/5/2020,150
6/6/2020,92
6/7/2020,74
6/8/2020,111
6/9/2020,112
6/10/2020,116
6/11/2020,125
6/12/2020,126
6/13/2020,101
6/14/2020,61
6/15/2020,106
6/16/2020,110
6/17/2020,121
6/18/2020,127
6/19/2020,145
6/20/2020,94
6/21/2020,99
6/22/2020,109
6/23/2020,124
6/24/2020,121
6/25/2020,130
6/26/2020,149
6/27/2020,114
6/28/2020,96
6/29/2020,112
6/30/2020,110
7/1/2020,128
7/2/2020,144
7/3/2020,132
7/4/2020,94
7/5/2020,83
7/6/2020,113
7/7/2020,114
7/8/2020,118
7/9/2020,130
7/10/2020,155
7/11/2020,109
7/12/2020,107
7/13/2020,112
7/14/2020,121
7/15/2020,122
7/16/2020,126
7/17/2020,119
7/18/2020,95
7/19/2020,85
7/20/2020,104
7/21/2020,108
7/22/2020,113
7/23/2020,113
7/24/2020,134
7/25/2020,86
7/26/2020,78
7/27/2020,107
