date,number
3/1/2020,63
3/2/2020,95
3/3/2020,98
3/4/2020,100
3/5/2020,105
3/6/2020,113
3/7/2020,93
3/8/2020,66
3/9/2020,95
3/10/2020,97
3/11/2020,98
3/12/2020,98
3/13/2020,97
3/14/2020,55
3/15/2020,35
3/16/2020,69
3/17/2020,54
3/18/2020,43
3/19/2020,44
3/20/2020,50
3/21/2020,12
3/22/2020,7
3/23/2020,29
3/24/2020,5
3/25/2020,18
3/26/2020,20
3/27/2020,17
3/28/2020,1
3/29/2020,1
3/30/2020,9
3/31/2020,11
4/1/2020,12
4/2/2020,21
4/3/2020,29
4/4/2020,14
4/5/2020,0
4/6/2020,18
4/7/2020,15
4/8/2020,20
4/9/2020,16
4/10/2020,23
4/11/2020,15
4/12/2020,0
4/13/2020,7
4/14/2020,16
4/15/2020,18
4/16/2020,22
4/17/2020,20
4/18/2020,16
4/19/2020,1
4/21/2020,31
4/22/2020,39
4/23/2020,36
4/24/2020,42
4/25/2020,27
4/26/2020,1
4/27/2020,39
4/28/2020,41
4/29/2020,33
4/30/2020,42
5/1/2020,59
5/2/2020,51
5/3/2020,28
5/4/2020,42
5/5/2020,43
5/6/2020,56
5/7/2020,48
5/8/2020,47
5/9/2020,39
5/10/2020,30
5/11/2020,28
5/12/2020,49
5/13/2020,41
5/14/2020,35
5/15/2020,52
5/16/2020,54
5/17/2020,34
5/18/2020,48
5/19/2020,41
5/20/2020,63
5/21/2020,70
5/22/2020,81
5/23/2020,62
5/24/2020,52
5/25/2020,39
5/26/2020,72
5/27/2020,76
5/28/2020,69
5/30/2020,59
5/31/2020,39
6/1/2020,76
6/2/2020,71
6/3/2020,85
6/4/2020,77
6/5/2020,90
6/6/2020,78
6/7/2020,54
6/8/2020,83
6/9/2020,87
6/10/2020,73
6/11/2020,88
6/12/2020,81
6/13/2020,78
6/14/2020,48
6/15/2020,67
6/16/2020,74
6/17/2020,92
6/18/2020,88
6/19/2020,98
6/20/2020,78
6/21/2020,58
6/22/2020,68
6/23/2020,81
6/24/2020,81
6/25/2020,94
6/26/2020,95
6/27/2020,76
6/28/2020,59
6/29/2020,74
6/30/2020,88
7/1/2020,89
7/2/2020,91
7/3/2020,89
7/4/2020,65
7/5/2020,56
7/6/2020,79
7/7/2020,83
7/8/2020,90
7/9/2020,88
7/10/2020,96
7/11/2020,81
7/12/2020,67
7/13/2020,85
7/14/2020,100
7/15/2020,89
7/16/2020,84
7/17/2020,109
7/18/2020,79
7/19/2020,47
7/20/2020,72
7/21/2020,75
7/22/2020,74
7/23/2020,72
7/24/2020,91
7/25/2020,65
7/26/2020,48
7/27/2020,64
