date,number
3/1/2020,74
3/2/2020,98
3/3/2020,100
3/4/2020,96
3/5/2020,106
3/6/2020,121
3/7/2020,104
3/8/2020,68
3/9/2020,93
3/10/2020,99
3/11/2020,99
3/12/2020,106
3/13/2020,108
3/14/2020,73
3/15/2020,52
3/16/2020,82
3/17/2020,70
3/18/2020,62
3/19/2020,58
3/20/2020,66
3/21/2020,36
3/22/2020,16
3/23/2020,48
3/24/2020,50
3/25/2020,53
3/26/2020,48
3/27/2020,48
3/28/2020,28
3/29/2020,18
3/30/2020,30
3/31/2020,39
4/1/2020,41
4/2/2020,40
4/3/2020,36
4/4/2020,16
4/5/2020,10
4/6/2020,36
4/7/2020,41
4/8/2020,44
4/9/2020,42
4/10/2020,51
4/11/2020,28
4/12/2020,3
4/13/2020,34
4/14/2020,34
4/15/2020,47
4/16/2020,49
4/17/2020,50
4/18/2020,38
4/19/2020,18
4/21/2020,51
4/22/2020,37
4/23/2020,58
4/24/2020,56
4/25/2020,45
4/26/2020,30
4/27/2020,52
4/28/2020,48
4/29/2020,58
4/30/2020,67
5/1/2020,84
5/2/2020,65
5/3/2020,49
5/4/2020,63
5/5/2020,73
5/6/2020,86
5/7/2020,69
5/8/2020,79
5/9/2020,70
5/10/2020,56
5/11/2020,59
5/12/2020,65
5/13/2020,57
5/14/2020,63
5/15/2020,65
5/16/2020,62
5/17/2020,57
5/18/2020,76
5/19/2020,74
5/20/2020,84
5/21/2020,85
5/22/2020,95
5/23/2020,77
5/24/2020,60
5/25/2020,40
5/26/2020,77
5/27/2020,83
5/28/2020,82
5/30/2020,63
5/31/2020,62
6/1/2020,85
6/2/2020,81
6/3/2020,91
6/4/2020,90
6/5/2020,103
6/6/2020,89
6/7/2020,66
6/8/2020,88
6/9/2020,92
6/10/2020,90
6/11/2020,96
6/12/2020,93
6/13/2020,88
6/14/2020,59
6/15/2020,76
6/16/2020,87
6/17/2020,92
6/18/2020,97
6/19/2020,90
6/20/2020,76
6/21/2020,64
6/22/2020,74
6/23/2020,89
6/24/2020,82
6/25/2020,97
6/26/2020,102
6/27/2020,87
6/28/2020,66
6/29/2020,80
6/30/2020,91
7/1/2020,92
7/2/2020,97
7/3/2020,90
7/4/2020,70
7/5/2020,60
7/6/2020,84
7/7/2020,91
7/8/2020,92
7/9/2020,92
7/10/2020,100
7/11/2020,79
7/12/2020,66
7/13/2020,83
7/14/2020,87
7/15/2020,87
7/16/2020,88
7/17/2020,88
7/18/2020,76
7/19/2020,56
7/20/2020,77
7/21/2020,80
7/22/2020,81
7/23/2020,80
7/24/2020,95
7/25/2020,68
7/26/2020,54
7/27/2020,73
