date,number
3/1/2020,57
3/2/2020,94
3/3/2020,97
3/4/2020,100
3/5/2020,107
3/6/2020,109
3/7/2020,78
3/8/2020,58
3/9/2020,95
3/10/2020,102
3/11/2020,101
3/12/2020,100
3/13/2020,97
3/14/2020,40
3/15/2020,28
3/16/2020,68
3/17/2020,56
3/18/2020,52
3/19/2020,47
3/20/2020,57
3/21/2020,14
3/22/2020,6
3/23/2020,21
3/24/2020,6
3/25/2020,13
3/26/2020,10
3/27/2020,10
3/28/2020,0
3/29/2020,0
3/30/2020,2
3/31/2020,9
4/1/2020,9
4/2/2020,12
4/3/2020,19
4/4/2020,1
4/5/2020,0
4/6/2020,10
4/7/2020,15
4/8/2020,18
4/9/2020,17
4/10/2020,29
4/11/2020,7
4/12/2020,0
4/13/2020,16
4/14/2020,18
4/15/2020,20
4/16/2020,26
4/17/2020,35
4/18/2020,1
4/19/2020,1
4/21/2020,15
4/22/2020,9
4/23/2020,16
4/24/2020,18
4/25/2020,1
4/26/2020,1
4/27/2020,11
4/28/2020,18
4/29/2020,19
4/30/2020,32
5/1/2020,51
5/2/2020,9
5/3/2020,12
5/4/2020,27
5/5/2020,30
5/6/2020,37
5/7/2020,26
5/8/2020,39
5/9/2020,23
5/10/2020,13
5/11/2020,12
5/12/2020,19
5/13/2020,23
5/14/2020,24
5/15/2020,52
5/16/2020,29
5/17/2020,12
5/18/2020,28
5/19/2020,37
5/20/2020,51
5/21/2020,49
5/22/2020,65
5/23/2020,44
5/24/2020,36
5/25/2020,27
5/26/2020,54
5/27/2020,59
5/28/2020,64
5/30/2020,10
5/31/2020,34
6/1/2020,57
6/2/2020,62
6/3/2020,61
6/4/2020,62
6/5/2020,70
6/6/2020,46
6/7/2020,25
6/8/2020,62
6/9/2020,58
6/10/2020,67
6/11/2020,70
6/12/2020,58
6/13/2020,48
6/14/2020,46
6/15/2020,55
6/16/2020,52
6/17/2020,71
6/18/2020,75
6/19/2020,90
6/20/2020,62
6/21/2020,52
6/22/2020,69
6/23/2020,77
6/24/2020,74
6/25/2020,79
6/26/2020,86
6/27/2020,69
6/28/2020,49
6/29/2020,68
6/30/2020,75
7/1/2020,83
7/2/2020,88
7/3/2020,81
7/4/2020,51
7/5/2020,47
7/6/2020,73
7/7/2020,76
7/8/2020,78
7/9/2020,80
7/10/2020,90
7/11/2020,76
7/12/2020,59
7/13/2020,71
7/14/2020,74
7/15/2020,72
7/16/2020,75
7/17/2020,61
7/18/2020,48
7/19/2020,48
7/20/2020,66
7/21/2020,62
7/22/2020,62
7/23/2020,62
7/24/2020,76
7/25/2020,53
7/26/2020,42
7/27/2020,60
