date,number
3/1/2020,69
3/2/2020,99
3/3/2020,96
3/4/2020,100
3/5/2020,105
3/6/2020,114
3/7/2020,87
3/8/2020,63
3/9/2020,96
3/10/2020,96
3/11/2020,96
3/12/2020,99
3/13/2020,93
3/14/2020,59
3/15/2020,33
3/16/2020,58
3/17/2020,35
3/18/2020,38
3/19/2020,28
3/20/2020,46
3/21/2020,13
3/22/2020,2
3/23/2020,7
3/24/2020,12
3/25/2020,8
3/26/2020,15
3/27/2020,24
3/28/2020,5
3/29/2020,0
3/30/2020,1
3/31/2020,5
4/1/2020,3
4/2/2020,5
4/3/2020,2
4/4/2020,3
4/5/2020,0
4/6/2020,6
4/7/2020,7
4/8/2020,1
4/9/2020,0
4/10/2020,13
4/11/2020,4
4/12/2020,0
4/13/2020,0
4/14/2020,7
4/15/2020,4
4/16/2020,6
4/17/2020,17
4/18/2020,0
4/19/2020,0
4/21/2020,4
4/22/2020,17
4/23/2020,21
4/24/2020,8
4/25/2020,19
4/26/2020,0
4/27/2020,4
4/28/2020,18
4/29/2020,22
4/30/2020,10
5/1/2020,27
5/2/2020,31
5/3/2020,24
5/4/2020,14
5/5/2020,24
5/6/2020,30
5/7/2020,17
5/8/2020,26
5/9/2020,15
5/10/2020,18
5/11/2020,5
5/12/2020,22
5/13/2020,15
5/14/2020,21
5/15/2020,35
5/16/2020,40
5/17/2020,25
5/18/2020,28
5/19/2020,25
5/20/2020,50
5/21/2020,48
5/22/2020,66
5/23/2020,26
5/24/2020,37
5/25/2020,20
5/26/2020,47
5/27/2020,53
5/28/2020,44
5/30/2020,34
5/31/2020,21
6/1/2020,59
6/2/2020,40
6/3/2020,60
6/4/2020,60
6/5/2020,59
6/6/2020,48
6/7/2020,35
6/8/2020,66
6/9/2020,66
6/10/2020,60
6/11/2020,53
6/12/2020,62
6/13/2020,61
6/14/2020,40
6/15/2020,47
6/16/2020,58
6/17/2020,71
6/18/2020,71
6/19/2020,77
6/20/2020,63
6/21/2020,52
6/22/2020,54
6/23/2020,71
6/24/2020,61
6/25/2020,75
6/26/2020,76
6/27/2020,56
6/28/2020,45
6/29/2020,44
6/30/2020,66
7/1/2020,67
7/2/2020,80
7/3/2020,72
7/4/2020,59
7/5/2020,54
7/6/2020,69
7/7/2020,75
7/8/2020,79
7/9/2020,83
7/10/2020,76
7/11/2020,68
7/12/2020,78
7/13/2020,74
7/14/2020,89
7/15/2020,82
7/16/2020,82
7/17/2020,99
7/18/2020,72
7/19/2020,54
7/20/2020,63
7/21/2020,69
7/22/2020,65
7/23/2020,59
7/24/2020,73
7/25/2020,57
7/26/2020,44
7/27/2020,60
