date,number
3/1/2020,77
3/2/2020,103
3/3/2020,99
3/4/2020,100
3/5/2020,99
3/6/2020,119
3/7/2020,101
3/8/2020,77
3/9/2020,101
3/10/2020,104
3/11/2020,105
3/12/2020,109
3/13/2020,113
3/14/2020,88
3/15/2020,62
3/16/2020,87
3/17/2020,78
3/18/2020,68
3/19/2020,73
3/20/2020,80
3/21/2020,49
3/22/2020,20
3/23/2020,49
3/24/2020,44
3/25/2020,54
3/26/2020,53
3/27/2020,60
3/28/2020,39
3/29/2020,20
3/30/2020,45
3/31/2020,41
4/1/2020,44
4/2/2020,46
4/3/2020,52
4/4/2020,32
4/5/2020,13
4/6/2020,42
4/7/2020,40
4/8/2020,34
4/9/2020,39
4/10/2020,45
4/11/2020,32
4/12/2020,0
4/13/2020,32
4/14/2020,46
4/15/2020,46
4/16/2020,51
4/17/2020,58
4/18/2020,39
4/19/2020,6
4/21/2020,56
4/22/2020,59
4/23/2020,47
4/24/2020,62
4/25/2020,43
4/26/2020,26
4/27/2020,58
4/28/2020,61
4/29/2020,57
4/30/2020,66
5/1/2020,82
5/2/2020,63
5/3/2020,52
5/4/2020,66
5/5/2020,72
5/6/2020,84
5/7/2020,76
5/8/2020,80
5/9/2020,72
5/10/2020,59
5/11/2020,66
5/12/2020,76
5/13/2020,65
5/14/2020,67
5/15/2020,79
5/16/2020,72
5/17/2020,56
5/18/2020,69
5/19/2020,62
5/20/2020,69
5/21/2020,82
5/22/2020,92
5/23/2020,74
5/24/2020,58
5/25/2020,51
5/26/2020,79
5/27/2020,78
5/28/2020,80
5/30/2020,61
5/31/2020,42
6/1/2020,86
6/2/2020,76
6/3/2020,94
6/4/2020,90
6/5/2020,96
6/6/2020,85
6/7/2020,59
6/8/2020,85
6/9/2020,90
6/10/2020,82
6/11/2020,88
6/12/2020,86
6/13/2020,82
6/14/2020,51
6/15/2020,68
6/16/2020,77
6/17/2020,86
6/18/2020,90
6/19/2020,91
6/20/2020,85
6/21/2020,67
6/22/2020,73
6/23/2020,84
6/24/2020,78
6/25/2020,90
6/26/2020,93
6/27/2020,86
6/28/2020,58
6/29/2020,72
6/30/2020,85
7/1/2020,86
7/2/2020,90
7/3/2020,89
7/4/2020,67
7/5/2020,59
7/6/2020,78
7/7/2020,78
7/8/2020,88
7/9/2020,90
7/10/2020,98
7/11/2020,91
7/12/2020,73
7/13/2020,87
7/14/2020,100
7/15/2020,91
7/16/2020,88
7/17/2020,109
7/18/2020,84
7/19/2020,54
7/20/2020,74
7/21/2020,77
7/22/2020,80
7/23/2020,80
7/24/2020,88
7/25/2020,71
7/26/2020,53
7/27/2020,75
