date,number
3/1/2020,70
3/2/2020,100
3/3/2020,101
3/4/2020,95
3/5/2020,99
3/6/2020,128
3/7/2020,111
3/8/2020,74
3/9/2020,99
3/10/2020,102
3/11/2020,104
3/12/2020,102
3/13/2020,106
3/14/2020,47
3/15/2020,36
3/16/2020,77
3/17/2020,76
3/18/2020,71
3/19/2020,57
3/20/2020,69
3/21/2020,37
3/22/2020,18
3/23/2020,59
3/24/2020,57
3/25/2020,48
3/26/2020,49
3/27/2020,57
3/28/2020,13
3/29/2020,15
3/30/2020,47
3/31/2020,49
4/1/2020,48
4/2/2020,22
4/3/2020,41
4/4/2020,19
4/5/2020,9
4/6/2020,49
4/7/2020,53
4/8/2020,43
4/9/2020,41
4/10/2020,59
4/11/2020,19
4/12/2020,0
4/13/2020,30
4/14/2020,34
4/15/2020,41
4/16/2020,44
4/17/2020,59
4/18/2020,42
4/19/2020,7
4/21/2020,59
4/22/2020,63
4/23/2020,61
4/24/2020,60
4/25/2020,39
4/26/2020,29
4/27/2020,60
4/28/2020,52
4/29/2020,58
4/30/2020,82
5/1/2020,102
5/2/2020,77
5/3/2020,66
5/4/2020,55
5/5/2020,62
5/6/2020,87
5/7/2020,67
5/8/2020,90
5/9/2020,59
5/10/2020,54
5/11/2020,61
5/12/2020,74
5/13/2020,60
5/14/2020,70
5/15/2020,94
5/16/2020,61
5/17/2020,64
5/18/2020,83
5/19/2020,83
5/20/2020,93
5/21/2020,106
5/22/2020,129
5/23/2020,98
5/24/2020,78
5/25/2020,66
5/26/2020,98
5/27/2020,107
5/28/2020,105
5/30/2020,69
5/31/2020,80
6/1/2020,105
6/2/2020,105
6/3/2020,115
6/4/2020,115
6/5/2020,144
6/6/2020,101
6/7/2020,91
6/8/2020,114
6/9/2020,103
6/10/2020,114
6/11/2020,127
6/12/2020,133
6/13/2020,126
6/14/2020,91
6/15/2020,101
6/16/2020,111
6/17/2020,122
6/18/2020,115
6/19/2020,141
6/20/2020,112
6/21/2020,127
6/22/2020,108
6/23/2020,127
6/24/2020,119
6/25/2020,138
6/26/2020,155
6/27/2020,150
6/28/2020,132
6/29/2020,124
6/30/2020,134
7/1/2020,141
7/2/2020,156
7/3/2020,149
7/4/2020,126
7/5/2020,129
7/6/2020,119
7/7/2020,127
7/8/2020,134
7/9/2020,136
7/10/2020,163
7/11/2020,145
7/12/2020,149
7/13/2020,123
7/14/2020,127
7/15/2020,127
7/16/2020,138
7/17/2020,137
7/18/2020,119
7/19/2020,111
7/20/2020,121
7/21/2020,124
7/22/2020,125
7/23/2020,124
7/24/2020,153
7/25/2020,119
7/26/2020,114
7/27/2020,121
