date,number
3/1/2020,77
3/2/2020,96
3/3/2020,92
3/4/2020,100
3/5/2020,105
3/6/2020,114
3/7/2020,98
3/8/2020,79
3/9/2020,98
3/10/2020,96
3/11/2020,99
3/12/2020,99
3/13/2020,104
3/14/2020,74
3/15/2020,54
3/16/2020,81
3/17/2020,71
3/18/2020,65
3/19/2020,69
3/20/2020,67
3/21/2020,40
3/22/2020,20
3/23/2020,42
3/24/2020,32
3/25/2020,44
3/26/2020,48
3/27/2020,53
3/28/2020,33
3/29/2020,20
3/30/2020,38
3/31/2020,28
4/1/2020,37
4/2/2020,41
4/3/2020,41
4/4/2020,23
4/5/2020,10
4/6/2020,34
4/7/2020,33
4/8/2020,34
4/9/2020,38
4/10/2020,44
4/11/2020,34
4/12/2020,0
4/13/2020,34
4/14/2020,37
4/15/2020,44
4/16/2020,48
4/17/2020,55
4/18/2020,38
4/19/2020,9
4/21/2020,51
4/22/2020,52
4/23/2020,45
4/24/2020,57
4/25/2020,29
4/26/2020,15
4/27/2020,53
4/28/2020,55
4/29/2020,49
4/30/2020,63
5/1/2020,79
5/2/2020,64
5/3/2020,48
5/4/2020,64
5/5/2020,67
5/6/2020,79
5/7/2020,72
5/8/2020,69
5/9/2020,67
5/10/2020,59
5/11/2020,63
5/12/2020,71
5/13/2020,60
5/14/2020,67
5/15/2020,77
5/16/2020,70
5/17/2020,50
5/18/2020,67
5/19/2020,63
5/20/2020,76
5/21/2020,83
5/22/2020,89
5/23/2020,72
5/24/2020,62
5/25/2020,52
5/26/2020,77
5/27/2020,80
5/28/2020,79
5/30/2020,64
5/31/2020,55
6/1/2020,84
6/2/2020,75
6/3/2020,89
6/4/2020,85
6/5/2020,94
6/6/2020,86
6/7/2020,64
6/8/2020,83
6/9/2020,86
6/10/2020,85
6/11/2020,92
6/12/2020,90
6/13/2020,87
6/14/2020,58
6/15/2020,74
6/16/2020,84
6/17/2020,90
6/18/2020,94
6/19/2020,95
6/20/2020,84
6/21/2020,67
6/22/2020,73
6/23/2020,85
6/24/2020,81
6/25/2020,94
6/26/2020,96
6/27/2020,85
6/28/2020,64
6/29/2020,75
6/30/2020,84
7/1/2020,86
7/2/2020,96
7/3/2020,92
7/4/2020,72
7/5/2020,61
7/6/2020,84
7/7/2020,88
7/8/2020,92
7/9/2020,92
7/10/2020,102
7/11/2020,89
7/12/2020,65
7/13/2020,88
7/14/2020,97
7/15/2020,89
7/16/2020,88
7/17/2020,100
7/18/2020,82
7/19/2020,59
7/20/2020,77
7/21/2020,79
7/22/2020,79
7/23/2020,79
7/24/2020,91
7/25/2020,71
7/26/2020,57
7/27/2020,76
