date,number
3/1/2020,72
3/2/2020,100
3/3/2020,99
3/4/2020,94
3/5/2020,108
3/6/2020,120
3/7/2020,102
3/8/2020,72
3/9/2020,96
3/10/2020,102
3/11/2020,104
3/12/2020,105
3/13/2020,100
3/14/2020,69
3/15/2020,46
3/16/2020,75
3/17/2020,64
3/18/2020,56
3/19/2020,55
3/20/2020,59
3/21/2020,27
3/22/2020,12
3/23/2020,40
3/24/2020,37
3/25/2020,28
3/26/2020,27
3/27/2020,32
3/28/2020,13
3/29/2020,5
3/30/2020,17
3/31/2020,25
4/1/2020,26
4/2/2020,24
4/3/2020,26
4/4/2020,5
4/5/2020,1
4/6/2020,20
4/7/2020,24
4/8/2020,25
4/9/2020,25
4/10/2020,32
4/11/2020,15
4/12/2020,1
4/13/2020,25
4/14/2020,25
4/15/2020,31
4/16/2020,33
4/17/2020,39
4/18/2020,22
4/19/2020,5
4/21/2020,38
4/22/2020,33
4/23/2020,43
4/24/2020,47
4/25/2020,32
4/26/2020,16
4/27/2020,37
4/28/2020,36
4/29/2020,39
4/30/2020,49
5/1/2020,65
5/2/2020,46
5/3/2020,32
5/4/2020,45
5/5/2020,52
5/6/2020,65
5/7/2020,53
5/8/2020,60
5/9/2020,51
5/10/2020,39
5/11/2020,43
5/12/2020,50
5/13/2020,44
5/14/2020,45
5/15/2020,57
5/16/2020,38
5/17/2020,36
5/18/2020,56
5/19/2020,54
5/20/2020,65
5/21/2020,69
5/22/2020,81
5/23/2020,58
5/24/2020,37
5/25/2020,28
5/26/2020,63
5/27/2020,69
5/28/2020,68
5/30/2020,52
5/31/2020,41
6/1/2020,68
6/2/2020,67
6/3/2020,74
6/4/2020,74
6/5/2020,84
6/6/2020,71
6/7/2020,45
6/8/2020,73
6/9/2020,77
6/10/2020,76
6/11/2020,79
6/12/2020,75
6/13/2020,71
6/14/2020,41
6/15/2020,60
6/16/2020,68
6/17/2020,78
6/18/2020,80
6/19/2020,83
6/20/2020,63
6/21/2020,46
6/22/2020,55
6/23/2020,65
6/24/2020,61
6/25/2020,73
6/26/2020,75
6/27/2020,63
6/28/2020,41
6/29/2020,62
6/30/2020,70
7/1/2020,72
7/2/2020,74
7/3/2020,69
7/4/2020,47
7/5/2020,34
7/6/2020,60
7/7/2020,68
7/8/2020,73
7/9/2020,74
7/10/2020,81
7/11/2020,62
7/12/2020,44
7/13/2020,67
7/14/2020,74
7/15/2020,69
7/16/2020,71
7/17/2020,77
7/18/2020,62
7/19/2020,39
7/20/2020,59
7/21/2020,61
7/22/2020,63
7/23/2020,64
7/24/2020,75
7/25/2020,43
7/26/2020,30
7/27/2020,58
