date,number
3/1/2020,23
3/2/2020,97
3/3/2020,99
3/4/2020,100
3/5/2020,105
3/6/2020,114
3/7/2020,86
3/8/2020,34
3/9/2020,95
3/10/2020,97
3/11/2020,100
3/12/2020,102
3/13/2020,97
3/14/2020,60
3/15/2020,22
3/16/2020,78
3/17/2020,66
3/18/2020,35
3/19/2020,43
3/20/2020,47
3/21/2020,21
3/22/2020,1
3/23/2020,36
3/24/2020,32
3/25/2020,29
3/26/2020,28
3/27/2020,32
3/28/2020,6
3/29/2020,0
3/30/2020,19
3/31/2020,23
4/1/2020,20
4/2/2020,20
4/3/2020,28
4/4/2020,8
4/5/2020,0
4/6/2020,17
4/7/2020,24
4/8/2020,26
4/9/2020,24
4/10/2020,37
4/11/2020,18
4/12/2020,0
4/13/2020,20
4/14/2020,23
4/15/2020,18
4/16/2020,23
4/17/2020,31
4/18/2020,16
4/19/2020,0
4/21/2020,29
4/22/2020,31
4/23/2020,30
4/24/2020,38
4/25/2020,26
4/26/2020,0
4/27/2020,31
4/28/2020,33
4/29/2020,35
4/30/2020,43
5/1/2020,58
5/2/2020,45
5/3/2020,10
5/4/2020,40
5/5/2020,45
5/6/2020,56
5/7/2020,46
5/8/2020,53
5/9/2020,47
5/10/2020,17
5/11/2020,33
5/12/2020,46
5/13/2020,34
5/14/2020,35
5/15/2020,59
5/16/2020,51
5/17/2020,13
5/18/2020,49
5/19/2020,48
5/20/2020,58
5/21/2020,70
5/22/2020,79
5/23/2020,54
5/24/2020,34
5/25/2020,56
5/26/2020,64
5/27/2020,66
5/28/2020,68
5/30/2020,32
5/31/2020,26
6/1/2020,66
6/2/2020,65
6/3/2020,69
6/4/2020,68
6/5/2020,77
6/6/2020,57
6/7/2020,7
6/8/2020,64
6/9/2020,70
6/10/2020,74
6/11/2020,76
6/12/2020,71
6/13/2020,69
6/14/2020,19
6/15/2020,55
6/16/2020,62
6/17/2020,72
6/18/2020,79
6/19/2020,85
6/20/2020,67
6/21/2020,36
6/22/2020,61
6/23/2020,72
6/24/2020,64
6/25/2020,80
6/26/2020,78
6/27/2020,74
6/28/2020,28
6/29/2020,64
6/30/2020,73
7/1/2020,82
7/2/2020,86
7/3/2020,80
7/4/2020,60
7/5/2020,28
7/6/2020,74
7/7/2020,77
7/8/2020,78
7/9/2020,78
7/10/2020,89
7/11/2020,71
7/12/2020,29
7/13/2020,69
7/14/2020,73
7/15/2020,72
7/16/2020,76
7/17/2020,63
7/18/2020,55
7/19/2020,28
7/20/2020,64
7/21/2020,64
7/22/2020,66
7/23/2020,71
7/24/2020,71
7/25/2020,57
7/26/2020,24
7/27/2020,63
