date,number
3/1/2020,82
3/2/2020,99
3/3/2020,90
3/4/2020,100
3/5/2020,103
3/6/2020,125
3/7/2020,85
3/8/2020,86
3/9/2020,104
3/10/2020,104
3/11/2020,111
3/12/2020,108
3/13/2020,107
3/14/2020,59
3/15/2020,45
3/16/2020,79
3/17/2020,51
3/18/2020,36
3/19/2020,32
3/20/2020,41
3/21/2020,3
3/22/2020,1
3/23/2020,8
3/24/2020,3
3/25/2020,14
3/26/2020,1
3/27/2020,5
3/28/2020,0
3/29/2020,0
3/30/2020,0
3/31/2020,2
4/1/2020,3
4/2/2020,1
4/3/2020,2
4/4/2020,1
4/5/2020,0
4/6/2020,4
4/7/2020,3
4/8/2020,1
4/9/2020,0
4/10/2020,1
4/11/2020,1
4/12/2020,0
4/13/2020,0
4/14/2020,1
4/15/2020,3
4/16/2020,2
4/17/2020,5
4/18/2020,1
4/19/2020,0
4/21/2020,6
4/22/2020,8
4/23/2020,22
4/24/2020,21
4/25/2020,19
4/26/2020,0
4/27/2020,4
4/28/2020,24
4/29/2020,21
4/30/2020,21
5/1/2020,39
5/2/2020,44
5/3/2020,31
5/4/2020,17
5/5/2020,31
5/6/2020,46
5/7/2020,32
5/8/2020,46
5/9/2020,8
5/10/2020,7
5/11/2020,5
5/12/2020,25
5/13/2020,17
5/14/2020,29
5/15/2020,31
5/16/2020,39
5/17/2020,32
5/18/2020,47
5/19/2020,36
5/20/2020,68
5/21/2020,74
5/22/2020,93
5/23/2020,58
5/24/2020,47
5/25/2020,34
5/26/2020,66
5/27/2020,75
5/28/2020,61
5/30/2020,23
5/31/2020,4
6/1/2020,66
6/2/2020,46
6/3/2020,76
6/4/2020,77
6/5/2020,86
6/6/2020,63
6/7/2020,42
6/8/2020,80
6/9/2020,78
6/10/2020,70
6/11/2020,69
6/12/2020,75
6/13/2020,60
6/14/2020,28
6/15/2020,61
6/16/2020,74
6/17/2020,89
6/18/2020,89
6/19/2020,87
6/20/2020,66
6/21/2020,54
6/22/2020,60
6/23/2020,83
6/24/2020,73
6/25/2020,95
6/26/2020,94
6/27/2020,67
6/28/2020,33
6/29/2020,48
6/30/2020,80
7/1/2020,78
7/2/2020,96
7/3/2020,87
7/4/2020,70
7/5/2020,70
7/6/2020,97
7/7/2020,93
7/8/2020,86
7/9/2020,92
7/10/2020,97
7/11/2020,49
7/12/2020,48
7/13/2020,78
7/14/2020,78
7/15/2020,87
7/16/2020,82
7/17/2020,78
7/18/2020,67
7/19/2020,43
7/20/2020,71
7/21/2020,79
7/22/2020,77
7/23/2020,62
7/24/2020,95
7/25/2020,63
7/26/2020,43
7/27/2020,68
