date,number
3/1/2020,65
3/2/2020,100
3/3/2020,98
3/4/2020,99
3/5/2020,105
3/6/2020,112
3/7/2020,86
3/8/2020,65
3/9/2020,97
3/10/2020,100
3/11/2020,102
3/12/2020,101
3/13/2020,96
3/14/2020,60
3/15/2020,31
3/16/2020,67
3/17/2020,54
3/18/2020,43
3/19/2020,47
3/20/2020,55
3/21/2020,16
3/22/2020,6
3/23/2020,20
3/24/2020,25
3/25/2020,14
3/26/2020,25
3/27/2020,30
3/28/2020,8
3/29/2020,4
3/30/2020,18
3/31/2020,6
4/1/2020,8
4/2/2020,15
4/3/2020,22
4/4/2020,5
4/5/2020,1
4/6/2020,11
4/7/2020,13
4/8/2020,13
4/9/2020,14
4/10/2020,21
4/11/2020,11
4/12/2020,0
4/13/2020,3
4/14/2020,15
4/15/2020,15
4/16/2020,20
4/17/2020,29
4/18/2020,6
4/19/2020,1
4/21/2020,25
4/22/2020,33
4/23/2020,26
4/24/2020,31
4/25/2020,14
4/26/2020,1
4/27/2020,23
4/28/2020,26
4/29/2020,30
4/30/2020,23
5/1/2020,46
5/2/2020,36
5/3/2020,18
5/4/2020,33
5/5/2020,32
5/6/2020,41
5/7/2020,36
5/8/2020,41
5/9/2020,28
5/10/2020,23
5/11/2020,22
5/12/2020,33
5/13/2020,26
5/14/2020,26
5/15/2020,47
5/16/2020,38
5/17/2020,21
5/18/2020,31
5/19/2020,24
5/20/2020,40
5/21/2020,47
5/22/2020,58
5/23/2020,43
5/24/2020,28
5/25/2020,21
5/26/2020,49
5/27/2020,53
5/28/2020,46
5/30/2020,37
5/31/2020,18
6/1/2020,57
6/2/2020,47
6/3/2020,68
6/4/2020,59
6/5/2020,65
6/6/2020,55
6/7/2020,37
6/8/2020,63
6/9/2020,65
6/10/2020,58
6/11/2020,63
6/12/2020,63
6/13/2020,63
6/14/2020,30
6/15/2020,43
6/16/2020,47
6/17/2020,58
6/18/2020,66
6/19/2020,68
6/20/2020,50
6/21/2020,44
6/22/2020,47
6/23/2020,66
6/24/2020,64
6/25/2020,72
6/26/2020,78
6/27/2020,69
6/28/2020,41
6/29/2020,53
6/30/2020,72
7/1/2020,70
7/2/2020,78
7/3/2020,76
7/4/2020,53
7/5/2020,42
7/6/2020,64
7/7/2020,71
7/8/2020,78
7/9/2020,75
7/10/2020,82
7/11/2020,70
7/12/2020,59
7/13/2020,70
7/14/2020,83
7/15/2020,75
7/16/2020,73
7/17/2020,87
7/18/2020,62
7/19/2020,38
7/20/2020,56
7/21/2020,59
7/22/2020,60
7/23/2020,58
7/24/2020,72
7/25/2020,55
7/26/2020,35
7/27/2020,55
