date,number
3/1/2020,102
3/2/2020,76
3/3/2020,98
3/4/2020,100
3/5/2020,106
3/6/2020,116
3/7/2020,108
3/8/2020,123
3/9/2020,92
3/10/2020,96
3/11/2020,99
3/12/2020,101
3/13/2020,110
3/14/2020,86
3/15/2020,30
3/16/2020,35
3/17/2020,12
3/18/2020,9
3/19/2020,5
3/20/2020,11
3/21/2020,1
3/22/2020,0
3/23/2020,0
3/24/2020,0
3/25/2020,0
3/26/2020,0
3/27/2020,1
3/28/2020,0
3/29/2020,0
3/30/2020,0
3/31/2020,0
4/1/2020,0
4/2/2020,0
4/3/2020,0
4/4/2020,0
4/5/2020,0
4/6/2020,0
4/7/2020,0
4/8/2020,0
4/9/2020,0
4/10/2020,0
4/11/2020,0
4/12/2020,0
4/13/2020,0
4/14/2020,0
4/15/2020,0
4/16/2020,0
4/17/2020,0
4/18/2020,0
4/19/2020,0
4/21/2020,0
4/22/2020,1
4/23/2020,0
4/24/2020,0
4/25/2020,0
4/26/2020,0
4/27/2020,0
4/28/2020,0
4/29/2020,1
4/30/2020,0
5/1/2020,1
5/2/2020,5
5/3/2020,0
5/4/2020,0
5/5/2020,0
5/6/2020,0
5/7/2020,0
5/8/2020,0
5/9/2020,0
5/10/2020,0
5/11/2020,0
5/12/2020,0
5/13/2020,0
5/14/2020,0
5/15/2020,4
5/16/2020,3
5/17/2020,1
5/18/2020,1
5/19/2020,1
5/20/2020,1
5/21/2020,4
5/22/2020,4
5/23/2020,4
5/24/2020,1
5/25/2020,2
5/26/2020,10
5/27/2020,5
5/28/2020,1
5/30/2020,9
5/31/2020,3
6/1/2020,15
6/2/2020,7
6/3/2020,19
6/4/2020,7
6/5/2020,22
6/6/2020,26
6/7/2020,12
6/8/2020,16
6/9/2020,15
6/10/2020,18
6/11/2020,14
6/12/2020,26
6/13/2020,31
6/14/2020,9
6/15/2020,6
6/16/2020,6
6/17/2020,9
6/18/2020,11
6/19/2020,30
6/20/2020,15
6/21/2020,8
6/22/2020,8
6/23/2020,20
6/24/2020,17
6/25/2020,26
6/26/2020,32
6/27/2020,39
6/28/2020,15
6/29/2020,17
6/30/2020,38
7/1/2020,42
7/2/2020,44
7/3/2020,98
7/4/2020,53
7/5/2020,55
7/6/2020,28
7/7/2020,24
7/8/2020,23
7/9/2020,43
7/10/2020,64
7/11/2020,175
7/12/2020,332
7/13/2020,82
7/14/2020,455
7/15/2020,126
7/16/2020,35
7/17/2020,925
7/18/2020,131
7/19/2020,42
7/20/2020,14
7/21/2020,13
7/22/2020,11
7/23/2020,16
7/24/2020,33
7/25/2020,27
7/26/2020,8
7/27/2020,16
