date,number
3/1/2020,55
3/2/2020,97
3/3/2020,98
3/4/2020,100
3/5/2020,101
3/6/2020,102
3/7/2020,71
3/8/2020,47
3/9/2020,85
3/10/2020,89
3/11/2020,89
3/12/2020,87
3/13/2020,85
3/14/2020,40
3/15/2020,24
3/16/2020,62
3/17/2020,45
3/18/2020,44
3/19/2020,35
3/20/2020,49
3/21/2020,5
3/22/2020,1
3/23/2020,17
3/24/2020,6
3/25/2020,5
3/26/2020,0
3/27/2020,1
3/28/2020,0
3/29/2020,0
3/30/2020,0
3/31/2020,1
4/1/2020,1
4/2/2020,1
4/3/2020,4
4/4/2020,0
4/5/2020,0
4/6/2020,3
4/7/2020,3
4/8/2020,5
4/9/2020,6
4/10/2020,15
4/11/2020,1
4/12/2020,0
4/13/2020,6
4/14/2020,6
4/15/2020,8
4/16/2020,12
4/17/2020,21
4/18/2020,0
4/19/2020,0
4/21/2020,3
4/22/2020,1
4/23/2020,3
4/24/2020,8
4/25/2020,0
4/26/2020,0
4/27/2020,3
4/28/2020,6
4/29/2020,7
4/30/2020,15
5/1/2020,40
5/2/2020,3
5/3/2020,3
5/4/2020,13
5/5/2020,20
5/6/2020,22
5/7/2020,15
5/8/2020,30
5/9/2020,17
5/10/2020,9
5/11/2020,6
5/12/2020,11
5/13/2020,17
5/14/2020,20
5/15/2020,41
5/16/2020,18
5/17/2020,5
5/18/2020,22
5/19/2020,28
5/20/2020,37
5/21/2020,37
5/22/2020,54
5/23/2020,31
5/24/2020,22
5/25/2020,6
5/26/2020,43
5/27/2020,48
5/28/2020,52
5/30/2020,3
5/31/2020,17
6/1/2020,44
6/2/2020,49
6/3/2020,47
6/4/2020,49
6/5/2020,59
6/6/2020,41
6/7/2020,18
6/8/2020,54
6/9/2020,46
6/10/2020,59
6/11/2020,59
6/12/2020,50
6/13/2020,42
6/14/2020,35
6/15/2020,46
6/16/2020,48
6/17/2020,62
6/18/2020,70
6/19/2020,86
6/20/2020,58
6/21/2020,39
6/22/2020,64
6/23/2020,69
6/24/2020,68
6/25/2020,73
6/26/2020,79
6/27/2020,54
6/28/2020,39
6/29/2020,64
6/30/2020,67
7/1/2020,74
7/2/2020,80
7/3/2020,76
7/4/2020,47
7/5/2020,40
7/6/2020,67
7/7/2020,65
7/8/2020,69
7/9/2020,69
7/10/2020,85
7/11/2020,64
7/12/2020,47
7/13/2020,64
7/14/2020,68
7/15/2020,67
7/16/2020,69
7/17/2020,56
7/18/2020,50
7/19/2020,43
7/20/2020,58
7/21/2020,57
7/22/2020,56
7/23/2020,55
7/24/2020,70
7/25/2020,50
7/26/2020,37
7/27/2020,58
