date,number
3/1/2020,62
3/2/2020,97
3/3/2020,99
3/4/2020,100
3/5/2020,104
3/6/2020,120
3/7/2020,90
3/8/2020,62
3/9/2020,90
3/10/2020,98
3/11/2020,99
3/12/2020,101
3/13/2020,110
3/14/2020,61
3/15/2020,34
3/16/2020,76
3/17/2020,63
3/18/2020,43
3/19/2020,38
3/20/2020,47
3/21/2020,5
3/22/2020,0
3/23/2020,29
3/24/2020,17
3/25/2020,10
3/26/2020,8
3/27/2020,18
3/28/2020,0
3/29/2020,0
3/30/2020,8
3/31/2020,9
4/1/2020,13
4/2/2020,19
4/3/2020,22
4/4/2020,2
4/5/2020,0
4/6/2020,11
4/7/2020,18
4/8/2020,11
4/9/2020,10
4/10/2020,24
4/11/2020,7
4/12/2020,0
4/13/2020,4
4/14/2020,8
4/15/2020,14
4/16/2020,17
4/17/2020,29
4/18/2020,11
4/19/2020,1
4/21/2020,30
4/22/2020,35
4/23/2020,35
4/24/2020,38
4/25/2020,16
4/26/2020,9
4/27/2020,26
4/28/2020,30
4/29/2020,25
4/30/2020,52
5/1/2020,72
5/2/2020,54
5/3/2020,42
5/4/2020,41
5/5/2020,45
5/6/2020,65
5/7/2020,49
5/8/2020,59
5/9/2020,48
5/10/2020,14
5/11/2020,32
5/12/2020,54
5/13/2020,37
5/14/2020,32
5/15/2020,70
5/16/2020,55
5/17/2020,4
5/18/2020,45
5/19/2020,45
5/20/2020,75
5/21/2020,82
5/22/2020,97
5/23/2020,51
5/24/2020,55
5/25/2020,44
5/26/2020,73
5/27/2020,79
5/28/2020,66
5/30/2020,55
5/31/2020,51
6/1/2020,77
6/2/2020,76
6/3/2020,92
6/4/2020,91
6/5/2020,103
6/6/2020,86
6/7/2020,60
6/8/2020,93
6/9/2020,82
6/10/2020,78
6/11/2020,95
6/12/2020,91
6/13/2020,84
6/14/2020,57
6/15/2020,73
6/16/2020,86
6/17/2020,102
6/18/2020,103
6/19/2020,106
6/20/2020,61
6/21/2020,76
6/22/2020,70
6/23/2020,92
6/24/2020,84
6/25/2020,108
6/26/2020,97
6/27/2020,98
6/28/2020,82
6/29/2020,77
6/30/2020,103
7/1/2020,104
7/2/2020,109
7/3/2020,97
7/4/2020,68
7/5/2020,74
7/6/2020,90
7/7/2020,92
7/8/2020,101
7/9/2020,91
7/10/2020,117
7/11/2020,91
7/12/2020,91
7/13/2020,96
7/14/2020,95
7/15/2020,86
7/16/2020,101
7/17/2020,108
7/18/2020,68
7/19/2020,65
7/20/2020,85
7/21/2020,82
7/22/2020,90
7/23/2020,86
7/24/2020,108
7/25/2020,72
7/26/2020,53
7/27/2020,79
