date,number
3/1/2020,53
3/2/2020,87
3/3/2020,90
3/4/2020,100
3/5/2020,105
3/6/2020,121
3/7/2020,99
3/8/2020,67
3/9/2020,101
3/10/2020,103
3/11/2020,106
3/12/2020,110
3/13/2020,113
3/14/2020,70
3/15/2020,56
3/16/2020,90
3/17/2020,85
3/18/2020,84
3/19/2020,56
3/20/2020,65
3/21/2020,47
3/22/2020,24
3/23/2020,65
3/24/2020,62
3/25/2020,61
3/26/2020,59
3/27/2020,59
3/28/2020,27
3/29/2020,20
3/30/2020,54
3/31/2020,54
4/1/2020,54
4/2/2020,32
4/3/2020,49
4/4/2020,29
4/5/2020,16
4/6/2020,47
4/7/2020,54
4/8/2020,60
4/9/2020,56
4/10/2020,69
4/11/2020,24
4/12/2020,0
4/13/2020,33
4/14/2020,40
4/15/2020,45
4/16/2020,27
4/17/2020,64
4/18/2020,47
4/19/2020,14
4/21/2020,68
4/22/2020,79
4/23/2020,67
4/24/2020,66
4/25/2020,59
4/26/2020,27
4/27/2020,63
4/28/2020,66
4/29/2020,73
4/30/2020,87
5/1/2020,101
5/2/2020,77
5/3/2020,58
5/4/2020,74
5/5/2020,82
5/6/2020,94
5/7/2020,75
5/8/2020,91
5/9/2020,70
5/10/2020,63
5/11/2020,65
5/12/2020,78
5/13/2020,70
5/14/2020,76
5/15/2020,92
5/16/2020,91
5/17/2020,79
5/18/2020,91
5/19/2020,88
5/20/2020,103
5/21/2020,109
5/22/2020,129
5/23/2020,90
5/24/2020,73
5/25/2020,84
5/26/2020,104
5/27/2020,109
5/28/2020,115
5/30/2020,83
5/31/2020,101
6/1/2020,114
6/2/2020,110
6/3/2020,120
6/4/2020,119
6/5/2020,136
6/6/2020,109
6/7/2020,89
6/8/2020,116
6/9/2020,114
6/10/2020,127
6/11/2020,132
6/12/2020,127
6/13/2020,130
6/14/2020,107
6/15/2020,111
6/16/2020,108
6/17/2020,127
6/18/2020,133
6/19/2020,133
6/20/2020,129
6/21/2020,117
6/22/2020,112
6/23/2020,130
6/24/2020,126
6/25/2020,137
6/26/2020,144
6/27/2020,145
6/28/2020,125
6/29/2020,128
6/30/2020,129
7/1/2020,141
7/2/2020,154
7/3/2020,156
7/4/2020,120
7/5/2020,126
7/6/2020,132
7/7/2020,129
7/8/2020,137
7/9/2020,146
7/10/2020,161
7/11/2020,140
7/12/2020,132
7/13/2020,122
7/14/2020,127
7/15/2020,125
7/16/2020,130
7/17/2020,124
7/18/2020,127
7/19/2020,108
7/20/2020,120
7/21/2020,115
7/22/2020,125
7/23/2020,115
7/24/2020,138
7/25/2020,113
7/26/2020,109
7/27/2020,116
