date,cases,deaths
3/1/2020,88,3
3/2/2020,104,6
3/3/2020,125,10
3/4/2020,161,12
3/5/2020,228,12
3/6/2020,311,15
3/7/2020,428,19
3/8/2020,547,22
3/9/2020,748,26
3/10/2020,1018,31
3/11/2020,1263,37
3/12/2020,1668,43
3/13/2020,2224,50
3/14/2020,2898,60
3/15/2020,3600,68
3/16/2020,4507,91
3/17/2020,5906,117
3/18/2020,8350,162
3/19/2020,12393,212
3/20/2020,18012,277
3/21/2020,24528,360
3/22/2020,33073,458
3/23/2020,43505,579
3/24/2020,53938,785
3/25/2020,68572,1054
3/26/2020,85570,1353
3/27/2020,102900,1770
3/28/2020,123966,2300
3/29/2020,142486,2718
3/30/2020,163955,3368
3/31/2020,188461,4304
4/1/2020,215391,5325
4/2/2020,245108,6541
4/3/2020,277426,7932
4/4/2020,312525,9488
4/5/2020,338141,10856
4/6/2020,369057,12382
4/7/2020,399394,14616
4/8/2020,431214,16701
4/9/2020,465913,18821
4/10/2020,499386,21084
4/11/2020,531106,23168
4/12/2020,558249,24849
4/13/2020,584018,26613
4/14/2020,610709,29318
4/15/2020,640742,32070
4/16/2020,672355,34419
4/17/2020,703864,36708
4/18/2020,732262,38659
4/19/2020,757596,40179
4/20/2020,784926,42016
4/21/2020,810434,44688
4/22/2020,839266,47059
4/23/2020,873039,49228
4/24/2020,909778,51360
4/25/2020,944186,53327
4/26/2020,970921,54580
4/27/2020,994110,56022
4/28/2020,1018744,58416
4/29/2020,1045298,60930
4/30/2020,1075637,63140
5/1/2020,1109601,64902
5/2/2020,1139075,66485
5/3/2020,1165215,67816
5/4/2020,1187176,68905
5/5/2020,1210881,71139
5/6/2020,1235366,73847
5/7/2020,1263841,75805
5/8/2020,1291483,77380
5/9/2020,1316351,78834
5/10/2020,1336668,79766
5/11/2020,1354286,80748
5/12/2020,1376585,82400
5/13/2020,1397726,84168
5/14/2020,1424687,85906
5/15/2020,1450910,87499
5/16/2020,1474569,88724
5/17/2020,1493583,89568
5/18/2020,1515403,90414
5/19/2020,1536371,91934
5/20/2020,1559435,93411
5/21/2020,1585168,94722
5/22/2020,1608961,96010
5/23/2020,1631229,97060
5/24/2020,1651260,97680
5/25/2020,1670360,98190
5/26/2020,1689249,98937
5/27/2020,1707990,100422
5/28/2020,1730458,101622
5/29/2020,1755005,102812
5/30/2020,1778402,103775
5/31/2020,1799036,104379
6/1/2020,1820930,105113
6/2/2020,1841716,106195
6/3/2020,1861695,107184
6/4/2020,1883309,108192
6/5/2020,1912006,109304
6/6/2020,1934522,110032
6/7/2020,1953138,110422
6/8/2020,1971339,111144
6/9/2020,1990143,112174
6/10/2020,2013298,113103
6/11/2020,2036500,113980
6/12/2020,2061993,114759
6/13/2020,2087327,115451
6/14/2020,2106457,115768
6/15/2020,2126574,116216
6/16/2020,2151459,116985
6/17/2020,2177114,117746
6/18/2020,2205173,118473
6/19/2020,2236009,119171
6/20/2020,2268034,119717
6/21/2020,2294413,119974
6/22/2020,2324879,120334
6/23/2020,2359937,121167
6/24/2020,2396926,121934
6/25/2020,2438099,124400
6/26/2020,2483625,125033
6/27/2020,2525929,125544
6/28/2020,2565007,125814
6/29/2020,2604924,126162
6/30/2020,2653319,127462
7/1/2020,2703296,128104
7/2/2020,2758851,128827
7/3/2020,2815374,129417
7/4/2020,2866014,129679
7/5/2020,2910780,129941
7/6/2020,2958095,130332
7/7/2020,3012252,131290
7/8/2020,3071711,132238
7/9/2020,3131610,133079
7/10/2020,3199837,133907
7/11/2020,3260565,134582
7/12/2020,3318372,134977
7/13/2020,3379943,135402
7/14/2020,3445544,136356
7/15/2020,3513892,137327
7/16/2020,3589589,138285
7/17/2020,3660512,139186
7/18/2020,3722966,139961
7/19/2020,3785241,140373
7/20/2020,3845124,140904
7/21/2020,3910398,142031
7/22/2020,3980128,143167
7/23/2020,4050126,144283
7/24/2020,4123651,145430
7/25/2020,4190422,146314
7/26/2020,4244634,146754
7/27/2020,4303813,148450
7/28/2020,4366922,149774
7/29/2020,4435382,151194
7/30/2020,4502549,152431
